"Plot Title: Ridge_ground"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20298810, SEN S/N: 20298810)","RH, % (LGR S/N: 20298810, SEN S/N: 20298810)","DewPt, °C (LGR S/N: 20298810, SEN S/N: 20298810)"
39,03/21/24 03:30:00 PM,13.642,23.585,-6.654
40,03/21/24 03:45:00 PM,11.710,23.916,-8.097
41,03/21/24 04:00:00 PM,11.686,24.512,-7.786
42,03/21/24 04:15:00 PM,12.871,24.198,-6.956
43,03/21/24 04:30:00 PM,12.098,24.741,-7.311
44,03/21/24 04:45:00 PM,11.807,24.819,-7.515
45,03/21/24 05:00:00 PM,12.775,24.191,-7.041
46,03/21/24 05:15:00 PM,13.209,24.489,-6.507
47,03/21/24 05:30:00 PM,12.968,24.471,-6.721
48,03/21/24 05:45:00 PM,12.389,23.964,-7.496
49,03/21/24 06:00:00 PM,12.195,24.017,-7.630
50,03/21/24 06:15:00 PM,11.783,24.519,-7.700
51,03/21/24 06:30:00 PM,11.734,24.383,-7.816
52,03/21/24 06:45:00 PM,11.904,24.395,-7.666
53,03/21/24 07:00:00 PM,11.637,24.641,-7.757
54,03/21/24 07:15:00 PM,11.419,24.890,-7.807
55,03/21/24 07:30:00 PM,11.127,25.133,-7.925
56,03/21/24 07:45:00 PM,11.005,25.389,-7.894
57,03/21/24 08:00:00 PM,10.565,26.410,-7.741
58,03/21/24 08:15:00 PM,10.296,26.881,-7.735
59,03/21/24 08:30:00 PM,9.756,28.082,-7.618
60,03/21/24 08:45:00 PM,9.706,27.719,-7.834
61,03/21/24 09:00:00 PM,9.756,27.199,-8.043
62,03/21/24 09:15:00 PM,9.361,28.148,-7.927
63,03/21/24 09:30:00 PM,8.941,28.699,-8.034
64,03/21/24 09:45:00 PM,8.394,29.853,-7.987
65,03/21/24 10:00:00 PM,7.995,30.626,-7.998
66,03/21/24 10:15:00 PM,8.120,30.346,-8.010
67,03/21/24 10:30:00 PM,7.795,30.930,-8.043
68,03/21/24 10:45:00 PM,7.770,31.346,-7.889
69,03/21/24 11:00:00 PM,7.444,31.863,-7.960
70,03/21/24 11:15:00 PM,7.116,32.793,-7.871
71,03/21/24 11:30:00 PM,7.167,32.382,-7.992
72,03/21/24 11:45:00 PM,6.914,32.295,-8.249
73,03/22/24 12:00:00 AM,6.864,32.450,-8.231
74,03/22/24 12:15:00 AM,6.585,33.189,-8.182
75,03/22/24 12:30:00 AM,6.560,32.964,-8.293
76,03/22/24 12:45:00 AM,6.535,33.089,-8.266
77,03/22/24 01:00:00 AM,6.255,33.794,-8.238
78,03/22/24 01:15:00 AM,6.153,33.594,-8.406
79,03/22/24 01:30:00 AM,5.949,34.050,-8.411
80,03/22/24 01:45:00 AM,5.642,34.496,-8.514
81,03/22/24 02:00:00 AM,5.642,34.717,-8.431
82,03/22/24 02:15:00 AM,5.334,35.223,-8.517
83,03/22/24 02:30:00 AM,5.179,35.964,-8.386
84,03/22/24 02:45:00 AM,5.102,35.987,-8.446
85,03/22/24 03:00:00 AM,4.921,36.314,-8.491
86,03/22/24 03:15:00 AM,4.792,36.646,-8.489
87,03/22/24 03:30:00 AM,4.714,36.544,-8.595
88,03/22/24 03:45:00 AM,4.636,36.849,-8.557
89,03/22/24 04:00:00 AM,4.350,37.507,-8.585
90,03/22/24 04:15:00 AM,4.506,37.023,-8.612
91,03/22/24 04:30:00 AM,4.376,37.260,-8.647
92,03/22/24 04:45:00 AM,4.011,38.156,-8.669
93,03/22/24 05:00:00 AM,4.272,37.405,-8.690
94,03/22/24 05:15:00 AM,4.089,37.510,-8.818
95,03/22/24 05:30:00 AM,3.722,38.529,-8.804
96,03/22/24 05:45:00 AM,3.564,38.667,-8.900
97,03/22/24 06:00:00 AM,3.749,38.035,-8.946
98,03/22/24 06:15:00 AM,3.459,38.718,-8.978
99,03/22/24 06:30:00 AM,3.459,39.214,-8.816
100,03/22/24 06:45:00 AM,3.380,39.452,-8.810
101,03/22/24 07:00:00 AM,2.877,41.305,-8.680
102,03/22/24 07:15:00 AM,3.009,41.566,-8.479
103,03/22/24 07:30:00 AM,3.221,41.038,-8.450
104,03/22/24 07:45:00 AM,3.617,40.344,-8.310
105,03/22/24 08:00:00 AM,4.141,40.156,-7.896
106,03/22/24 08:15:00 AM,4.298,39.120,-8.090
107,03/22/24 08:30:00 AM,4.402,40.062,-7.690
108,03/22/24 08:45:00 AM,4.688,45.589,-5.762
109,03/22/24 09:00:00 AM,5.308,51.905,-3.506
110,03/22/24 09:15:00 AM,5.796,53.196,-2.732
111,03/22/24 09:30:00 AM,6.281,53.564,-2.189
112,03/22/24 09:45:00 AM,6.433,51.618,-2.532
113,03/22/24 10:00:00 AM,6.940,44.802,-3.928
114,03/22/24 10:15:00 AM,7.795,48.882,-1.990
115,03/22/24 10:30:00 AM,8.419,46.339,-2.126
116,03/22/24 10:45:00 AM,9.854,44.668,-1.306
117,03/22/24 11:00:00 AM,10.638,43.645,-0.904
118,03/22/24 11:15:00 AM,11.467,42.868,-0.395
119,03/22/24 11:30:00 AM,12.823,40.820,0.160
120,03/22/24 11:45:00 AM,12.437,41.029,-0.118
121,03/22/24 12:00:00 PM,13.570,40.586,0.754
122,03/22/24 12:15:00 PM,14.337,39.652,1.121
123,03/22/24 12:30:00 PM,15.079,39.381,1.691
124,03/22/24 12:45:00 PM,15.605,38.892,1.987
125,03/22/24 01:00:00 PM,15.843,39.046,2.256
126,03/22/24 01:15:00 PM,17.486,38.124,3.386
127,03/22/24 01:30:00 PM,18.628,36.193,3.658
128,03/22/24 01:45:00 PM,19.294,35.408,3.931
129,03/22/24 02:00:00 PM,19.103,36.599,4.240
130,03/22/24 02:15:00 PM,19.103,36.273,4.111
131,03/22/24 02:30:00 PM,19.984,35.113,4.420
132,03/22/24 02:45:00 PM,21.127,34.365,5.114
133,03/22/24 03:00:00 PM,20.793,33.143,4.293
134,03/22/24 03:15:00 PM,20.579,33.355,4.198
135,03/22/24 03:30:00 PM,22.513,31.699,5.143
136,03/22/24 03:45:00 PM,24.243,29.730,5.692
137,03/22/24 04:00:00 PM,23.400,29.560,4.880
138,03/22/24 04:15:00 PM,22.082,30.592,4.246
139,03/22/24 04:30:00 PM,21.294,31.193,3.846
140,03/22/24 04:45:00 PM,21.987,31.553,4.617
141,03/22/24 05:00:00 PM,21.413,33.034,4.788
142,03/22/24 05:15:00 PM,20.984,34.021,4.842
143,03/22/24 05:30:00 PM,20.698,34.391,4.748
144,03/22/24 05:45:00 PM,20.698,34.787,4.914
145,03/22/24 06:00:00 PM,20.436,34.630,4.618
146,03/22/24 06:15:00 PM,20.365,34.887,4.662
147,03/22/24 06:30:00 PM,20.126,35.653,4.767
148,03/22/24 06:45:00 PM,20.055,35.678,4.715
149,03/22/24 07:00:00 PM,19.912,36.287,4.834
150,03/22/24 07:15:00 PM,19.722,36.857,4.891
151,03/22/24 07:30:00 PM,19.508,37.586,4.984
152,03/22/24 07:45:00 PM,19.318,38.249,5.068
153,03/22/24 08:00:00 PM,19.175,38.624,5.081
154,03/22/24 08:15:00 PM,19.008,39.061,5.095
155,03/22/24 08:30:00 PM,18.794,40.910,5.571
156,03/22/24 08:45:00 PM,18.247,45.541,6.622
157,03/22/24 09:00:00 PM,17.891,47.799,6.993
158,03/22/24 09:15:00 PM,17.296,50.936,7.358
159,03/22/24 09:30:00 PM,16.725,53.328,7.484
160,03/22/24 09:45:00 PM,16.463,56.072,7.955
161,03/22/24 10:00:00 PM,16.225,57.069,7.983
162,03/22/24 10:15:00 PM,16.296,56.807,7.984
163,03/22/24 10:30:00 PM,15.796,59.564,8.186
164,03/22/24 10:45:00 PM,15.103,64.350,8.620
165,03/22/24 11:00:00 PM,14.577,68.194,8.930
166,03/22/24 11:15:00 PM,14.026,71.680,9.093
167,03/22/24 11:30:00 PM,13.497,74.997,9.206
168,03/22/24 11:45:00 PM,13.040,78.852,9.447
169,03/23/24 12:00:00 AM,12.413,82.567,9.456
170,03/23/24 12:15:00 AM,12.050,85.388,9.550
171,03/23/24 12:30:00 AM,11.710,86.718,9.420
172,03/23/24 12:45:00 AM,11.565,87.000,9.320
173,03/23/24 01:00:00 AM,11.443,88.605,9.441
174,03/23/24 01:15:00 AM,11.200,90.997,9.550
175,03/23/24 01:30:00 AM,11.151,91.244,9.537
176,03/23/24 01:45:00 AM,11.102,92.471,9.663
177,03/23/24 02:00:00 AM,11.053,93.331,9.735
178,03/23/24 02:15:00 AM,11.029,93.734,9.767
179,03/23/24 02:30:00 AM,10.980,94.079,9.766
180,03/23/24 02:45:00 AM,10.932,93.913,9.694
181,03/23/24 03:00:00 AM,10.907,94.009,9.683
182,03/23/24 03:15:00 AM,10.858,94.149,9.654
183,03/23/24 03:30:00 AM,10.834,94.830,9.723
184,03/23/24 03:45:00 AM,10.785,95.249,9.731
185,03/23/24 04:00:00 AM,10.712,95.786,9.730
186,03/23/24 04:15:00 AM,10.663,96.253,9.743
187,03/23/24 04:30:00 AM,10.638,96.322,9.728
188,03/23/24 04:45:00 AM,10.638,96.271,9.721
189,03/23/24 05:00:00 AM,10.590,96.132,9.654
190,03/23/24 05:15:00 AM,10.565,96.252,9.645
191,03/23/24 05:30:00 AM,10.492,97.287,9.709
192,03/23/24 05:45:00 AM,10.516,97.344,9.741
193,03/23/24 06:00:00 AM,10.492,97.688,9.762
194,03/23/24 06:15:00 AM,10.467,97.781,9.749
195,03/23/24 06:30:00 AM,10.443,97.624,9.704
196,03/23/24 06:45:00 AM,10.443,98.074,9.763
197,03/23/24 07:00:00 AM,10.443,98.249,9.786
198,03/23/24 07:15:00 AM,10.492,98.212,9.830
199,03/23/24 07:30:00 AM,10.516,98.892,9.942
200,03/23/24 07:45:00 AM,9.287,95.857,8.314
201,03/23/24 08:00:00 AM,8.618,96.228,7.693
202,03/23/24 08:15:00 AM,7.795,94.554,6.650
203,03/23/24 08:30:00 AM,7.444,94.711,6.320
204,03/23/24 08:45:00 AM,7.318,95.078,6.242
205,03/23/24 09:00:00 AM,7.293,95.071,6.216
206,03/23/24 09:15:00 AM,6.940,93.674,5.679
207,03/23/24 09:30:00 AM,6.535,93.417,5.241
208,03/23/24 09:45:00 AM,6.281,94.700,5.156
209,03/23/24 10:00:00 AM,6.051,94.788,4.939
210,03/23/24 10:15:00 AM,6.026,94.382,4.860
211,03/23/24 10:30:00 AM,5.642,92.831,4.273
212,03/23/24 10:45:00 AM,5.308,90.956,3.688
213,03/23/24 11:00:00 AM,5.128,90.784,3.485
214,03/23/24 11:15:00 AM,4.973,89.578,3.166
215,03/23/24 11:30:00 AM,4.921,89.819,3.148
216,03/23/24 11:45:00 AM,4.844,88.374,2.870
217,03/23/24 12:00:00 PM,4.714,87.984,2.686
218,03/23/24 12:15:00 PM,4.792,87.747,2.730
219,03/23/24 12:30:00 PM,4.766,88.303,2.783
220,03/23/24 12:45:00 PM,4.610,84.398,2.066
221,03/23/24 01:00:00 PM,4.558,83.787,1.924
222,03/23/24 01:15:00 PM,4.973,82.338,2.112
223,03/23/24 01:30:00 PM,5.437,81.335,2.413
224,03/23/24 01:45:00 PM,6.204,78.893,2.776
225,03/23/24 02:00:00 PM,5.949,77.330,2.270
226,03/23/24 02:15:00 PM,6.965,77.602,3.306
227,03/23/24 02:30:00 PM,6.611,73.321,2.227
228,03/23/24 02:45:00 PM,7.419,69.980,2.399
229,03/23/24 03:00:00 PM,7.870,69.253,2.696
230,03/23/24 03:15:00 PM,8.270,67.093,2.662
231,03/23/24 03:30:00 PM,9.114,59.115,1.778
232,03/23/24 03:45:00 PM,8.568,59.203,1.283
233,03/23/24 04:00:00 PM,9.682,58.765,2.234
234,03/23/24 04:15:00 PM,9.386,58.422,1.876
235,03/23/24 04:30:00 PM,9.829,53.457,1.096
236,03/23/24 04:45:00 PM,9.262,50.083,-0.309
237,03/23/24 05:00:00 PM,9.386,48.394,-0.656
238,03/23/24 05:15:00 PM,9.829,43.703,-1.623
239,03/23/24 05:30:00 PM,9.731,44.281,-1.535
240,03/23/24 05:45:00 PM,9.682,43.810,-1.724
241,03/23/24 06:00:00 PM,9.410,42.439,-2.398
242,03/23/24 06:15:00 PM,9.238,41.764,-2.770
243,03/23/24 06:30:00 PM,9.114,41.281,-3.038
244,03/23/24 06:45:00 PM,9.015,40.550,-3.366
245,03/23/24 07:00:00 PM,8.742,40.926,-3.489
246,03/23/24 07:15:00 PM,8.543,41.216,-3.575
247,03/23/24 07:30:00 PM,7.970,43.758,-3.299
248,03/23/24 07:45:00 PM,7.820,42.532,-3.813
249,03/23/24 08:00:00 PM,7.494,43.515,-3.807
250,03/23/24 08:15:00 PM,6.940,45.109,-3.838
251,03/23/24 08:30:00 PM,6.611,45.190,-4.115
252,03/23/24 08:45:00 PM,6.179,44.953,-4.580
253,03/23/24 09:00:00 PM,5.616,46.468,-4.662
254,03/23/24 09:15:00 PM,5.385,48.075,-4.432
255,03/23/24 09:30:00 PM,5.076,50.199,-4.156
256,03/23/24 09:45:00 PM,4.558,52.006,-4.179
257,03/23/24 10:00:00 PM,4.298,52.591,-4.277
258,03/23/24 10:15:00 PM,3.696,55.153,-4.228
259,03/23/24 10:30:00 PM,3.406,56.714,-4.143
260,03/23/24 10:45:00 PM,3.036,57.613,-4.291
261,03/23/24 11:00:00 PM,2.770,58.466,-4.354
262,03/23/24 11:15:00 PM,2.343,60.206,-4.387
263,03/23/24 11:30:00 PM,1.967,62.192,-4.335
264,03/23/24 11:45:00 PM,1.615,63.008,-4.505
265,03/24/24 12:00:00 AM,1.180,65.120,-4.508
266,03/24/24 12:15:00 AM,0.715,66.842,-4.630
267,03/24/24 12:30:00 AM,0.467,67.735,-4.704
268,03/24/24 12:45:00 AM,0.273,67.450,-4.941
269,03/24/24 01:00:00 AM,0.079,67.220,-5.170
270,03/24/24 01:15:00 AM,-0.171,68.437,-5.190
271,03/24/24 01:30:00 AM,-0.395,69.106,-5.286
272,03/24/24 01:45:00 AM,-0.591,69.912,-5.334
273,03/24/24 02:00:00 AM,-0.648,69.711,-5.423
274,03/24/24 02:15:00 AM,-0.958,71.168,-5.471
275,03/24/24 02:30:00 AM,-0.958,71.249,-5.457
276,03/24/24 02:45:00 AM,-1.128,71.862,-5.518
277,03/24/24 03:00:00 AM,-1.242,72.161,-5.577
278,03/24/24 03:15:00 AM,-1.413,72.529,-5.681
279,03/24/24 03:30:00 AM,-1.527,73.094,-5.698
280,03/24/24 03:45:00 AM,-1.641,73.791,-5.695
281,03/24/24 04:00:00 AM,-1.641,73.871,-5.682
282,03/24/24 04:15:00 AM,-1.756,74.219,-5.737
283,03/24/24 04:30:00 AM,-1.842,74.599,-5.760
284,03/24/24 04:45:00 AM,-1.986,75.177,-5.807
285,03/24/24 05:00:00 AM,-1.986,75.071,-5.824
286,03/24/24 05:15:00 AM,-2.073,75.317,-5.869
287,03/24/24 05:30:00 AM,-2.189,75.635,-5.931
288,03/24/24 05:45:00 AM,-2.189,75.951,-5.882
289,03/24/24 06:00:00 AM,-2.189,76.056,-5.865
290,03/24/24 06:15:00 AM,-2.334,76.262,-5.974
291,03/24/24 06:30:00 AM,-2.392,76.669,-5.968
292,03/24/24 06:45:00 AM,-2.479,76.728,-6.044
293,03/24/24 07:00:00 AM,-2.508,76.800,-6.061
294,03/24/24 07:15:00 AM,-2.625,77.245,-6.106
295,03/24/24 07:30:00 AM,-2.742,78.521,-6.027
296,03/24/24 07:45:00 AM,-2.596,77.304,-6.069
297,03/24/24 08:00:00 AM,-2.596,77.121,-6.097
298,03/24/24 08:15:00 AM,-2.537,77.786,-5.938
299,03/24/24 08:30:00 AM,-2.334,77.126,-5.840
300,03/24/24 08:45:00 AM,-1.986,76.442,-5.608
301,03/24/24 09:00:00 AM,-1.699,76.504,-5.318
302,03/24/24 09:15:00 AM,-1.157,74.025,-5.186
303,03/24/24 09:30:00 AM,-0.535,73.433,-4.681
304,03/24/24 09:45:00 AM,-0.032,71.516,-4.516
305,03/24/24 10:00:00 AM,0.880,69.764,-3.941
306,03/24/24 10:15:00 AM,1.289,67.421,-3.971
307,03/24/24 10:30:00 AM,1.859,64.739,-3.933
308,03/24/24 10:45:00 AM,3.880,62.352,-2.483
309,03/24/24 11:00:00 AM,4.272,60.414,-2.516
310,03/24/24 11:15:00 AM,4.272,56.529,-3.371
311,03/24/24 11:30:00 AM,5.847,52.668,-2.814
312,03/24/24 11:45:00 AM,5.796,49.818,-3.588
313,03/24/24 12:00:00 PM,6.306,48.712,-3.410
314,03/24/24 12:15:00 PM,7.343,45.926,-3.232
315,03/24/24 12:30:00 PM,7.594,43.032,-3.863
316,03/24/24 12:45:00 PM,8.941,40.573,-3.426
317,03/24/24 01:00:00 PM,8.891,36.722,-4.801
318,03/24/24 01:15:00 PM,9.040,35.371,-5.169
319,03/24/24 01:30:00 PM,10.026,33.579,-4.991
320,03/24/24 01:45:00 PM,10.565,32.792,-4.835
321,03/24/24 02:00:00 PM,11.807,32.875,-3.708
322,03/24/24 02:15:00 PM,11.540,32.300,-4.182
323,03/24/24 02:30:00 PM,13.233,30.563,-3.457
324,03/24/24 02:45:00 PM,12.920,30.110,-3.933
325,03/24/24 03:00:00 PM,13.882,29.766,-3.255
326,03/24/24 03:15:00 PM,13.834,28.380,-3.953
327,03/24/24 03:30:00 PM,13.978,29.643,-3.229
328,03/24/24 03:45:00 PM,13.762,29.098,-3.672
329,03/24/24 04:00:00 PM,14.409,28.657,-3.322
330,03/24/24 04:15:00 PM,15.557,26.727,-3.302
331,03/24/24 04:30:00 PM,16.392,27.790,-2.042
332,03/24/24 04:45:00 PM,14.673,28.051,-3.391
333,03/24/24 05:00:00 PM,16.034,27.695,-2.397
334,03/24/24 05:15:00 PM,15.843,27.746,-2.535
335,03/24/24 05:30:00 PM,15.509,27.388,-3.003
336,03/24/24 05:45:00 PM,15.581,28.521,-2.377
337,03/24/24 06:00:00 PM,15.079,27.951,-3.090
338,03/24/24 06:15:00 PM,15.199,28.490,-2.722
339,03/24/24 06:30:00 PM,14.840,28.858,-2.854
340,03/24/24 06:45:00 PM,14.601,28.673,-3.149
341,03/24/24 07:00:00 PM,14.218,29.663,-3.012
342,03/24/24 07:15:00 PM,13.810,30.154,-3.140
343,03/24/24 07:30:00 PM,13.546,30.688,-3.128
344,03/24/24 07:45:00 PM,13.016,31.653,-3.165
345,03/24/24 08:00:00 PM,12.823,31.799,-3.271
346,03/24/24 08:15:00 PM,12.582,32.330,-3.256
347,03/24/24 08:30:00 PM,12.340,32.827,-3.260
348,03/24/24 08:45:00 PM,12.050,33.447,-3.260
349,03/24/24 09:00:00 PM,11.710,34.511,-3.133
350,03/24/24 09:15:00 PM,11.734,34.835,-2.984
351,03/24/24 09:30:00 PM,11.710,35.443,-2.770
352,03/24/24 09:45:00 PM,11.394,36.533,-2.639
353,03/24/24 10:00:00 PM,11.273,37.095,-2.540
354,03/24/24 10:15:00 PM,11.127,37.557,-2.502
355,03/24/24 10:30:00 PM,11.224,37.663,-2.377
356,03/24/24 10:45:00 PM,11.273,37.795,-2.286
357,03/24/24 11:00:00 PM,11.078,38.347,-2.264
358,03/24/24 11:15:00 PM,10.834,38.955,-2.269
359,03/24/24 11:30:00 PM,10.590,39.276,-2.377
360,03/24/24 11:45:00 PM,10.345,39.944,-2.370
361,03/25/24 12:00:00 AM,10.320,40.130,-2.329
362,03/25/24 12:15:00 AM,9.952,41.251,-2.289
363,03/25/24 12:30:00 AM,9.805,41.548,-2.326
364,03/25/24 12:45:00 AM,10.467,39.484,-2.416
365,03/25/24 01:00:00 AM,10.736,36.466,-3.250
366,03/25/24 01:15:00 AM,10.614,35.271,-3.809
367,03/25/24 01:30:00 AM,10.907,32.695,-4.574
368,03/25/24 01:45:00 AM,10.883,31.625,-5.044
369,03/25/24 02:00:00 AM,10.785,30.773,-5.498
370,03/25/24 02:15:00 AM,10.883,29.969,-5.769
371,03/25/24 02:30:00 AM,10.369,30.575,-5.947
372,03/25/24 02:45:00 AM,10.638,28.644,-6.589
373,03/25/24 03:00:00 AM,10.467,28.630,-6.744
374,03/25/24 03:15:00 AM,10.149,28.897,-6.895
375,03/25/24 03:30:00 AM,9.879,29.168,-7.005
376,03/25/24 03:45:00 AM,9.657,29.442,-7.073
377,03/25/24 04:00:00 AM,9.410,29.681,-7.179
378,03/25/24 04:15:00 AM,8.916,31.030,-7.020
379,03/25/24 04:30:00 AM,9.015,30.360,-7.223
380,03/25/24 04:45:00 AM,8.990,30.325,-7.260
381,03/25/24 05:00:00 AM,8.965,30.517,-7.198
382,03/25/24 05:15:00 AM,8.593,31.291,-7.191
383,03/25/24 05:30:00 AM,8.568,31.321,-7.200
384,03/25/24 05:45:00 AM,8.369,31.303,-7.382
385,03/25/24 06:00:00 AM,7.995,32.073,-7.389
386,03/25/24 06:15:00 AM,7.720,32.593,-7.420
387,03/25/24 06:30:00 AM,7.268,32.839,-7.719
388,03/25/24 06:45:00 AM,7.318,33.035,-7.596
389,03/25/24 07:00:00 AM,7.242,33.379,-7.527
390,03/25/24 07:15:00 AM,6.000,35.606,-7.784
391,03/25/24 07:30:00 AM,5.719,36.522,-7.705
392,03/25/24 07:45:00 AM,6.357,35.420,-7.535
393,03/25/24 08:00:00 AM,5.385,37.867,-7.534
394,03/25/24 08:15:00 AM,6.102,37.347,-7.071
395,03/25/24 08:30:00 AM,6.864,36.609,-6.651
396,03/25/24 08:45:00 AM,7.519,36.265,-6.191
397,03/25/24 09:00:00 AM,8.444,33.685,-6.346
398,03/25/24 09:15:00 AM,9.336,32.292,-6.121
399,03/25/24 09:30:00 AM,10.687,31.672,-5.195
400,03/25/24 09:45:00 AM,10.907,32.501,-4.654
401,03/25/24 10:00:00 AM,12.001,30.847,-4.404
402,03/25/24 10:15:00 AM,12.775,31.437,-3.470
403,03/25/24 10:30:00 AM,13.882,30.225,-3.044
404,03/25/24 10:45:00 AM,15.318,26.841,-3.447
405,03/25/24 11:00:00 AM,15.318,23.500,-5.290
406,03/25/24 11:15:00 AM,15.079,25.558,-4.331
407,03/25/24 11:30:00 AM,15.414,22.767,-5.648
408,03/25/24 11:45:00 AM,14.577,23.416,-5.964
409,03/25/24 12:00:00 PM,18.366,24.386,-2.200
410,03/25/24 12:15:00 PM,18.604,21.419,-3.837
411,03/25/24 12:30:00 PM,18.604,21.215,-3.972
412,03/25/24 12:45:00 PM,19.080,19.878,-4.501
413,03/25/24 01:00:00 PM,20.126,19.391,-3.993
414,03/25/24 01:15:00 PM,19.888,17.380,-5.748
415,03/25/24 01:30:00 PM,20.984,18.545,-3.931
416,03/25/24 01:45:00 PM,21.127,16.753,-5.273
417,03/25/24 02:00:00 PM,21.628,14.689,-6.764
418,03/25/24 02:15:00 PM,21.032,13.543,-8.402
419,03/25/24 02:30:00 PM,23.521,14.077,-5.891
420,03/25/24 02:45:00 PM,22.633,11.503,-9.527
421,03/25/24 03:00:00 PM,22.178,11.942,-9.329
422,03/25/24 03:15:00 PM,22.202,11.485,-9.878
423,03/25/24 03:30:00 PM,23.665,12.675,-7.313
424,03/25/24 03:45:00 PM,23.665,11.686,-8.505
425,03/25/24 04:00:00 PM,22.800,11.509,-9.390
426,03/25/24 04:15:00 PM,23.328,11.743,-8.692
427,03/25/24 04:30:00 PM,23.328,11.955,-8.429
428,03/25/24 04:45:00 PM,23.737,12.113,-7.922
429,03/25/24 05:00:00 PM,21.604,12.306,-9.337
430,03/25/24 05:15:00 PM,21.748,12.523,-8.974
431,03/25/24 05:30:00 PM,22.633,13.264,-7.452
432,03/25/24 05:45:00 PM,21.795,13.437,-7.918
433,03/25/24 06:00:00 PM,22.369,14.445,-6.422
434,03/25/24 06:15:00 PM,21.581,14.687,-6.804
435,03/25/24 06:30:00 PM,20.865,13.151,-8.955
436,03/25/24 06:45:00 PM,20.722,14.228,-7.938
437,03/25/24 07:00:00 PM,20.246,13.996,-8.548
438,03/25/24 07:15:00 PM,19.817,13.698,-9.192
439,03/25/24 07:30:00 PM,19.651,13.690,-9.331
440,03/25/24 07:45:00 PM,19.294,13.952,-9.342
441,03/25/24 08:00:00 PM,18.985,14.216,-9.320
442,03/25/24 08:15:00 PM,18.652,14.131,-9.668
443,03/25/24 08:30:00 PM,18.414,13.981,-10.006
444,03/25/24 08:45:00 PM,18.033,14.310,-9.979
445,03/25/24 09:00:00 PM,17.629,14.637,-9.982
446,03/25/24 09:15:00 PM,17.296,14.760,-10.130
447,03/25/24 09:30:00 PM,17.320,14.484,-10.374
448,03/25/24 09:45:00 PM,17.272,13.582,-11.311
449,03/25/24 10:00:00 PM,16.939,14.120,-11.031
450,03/25/24 10:15:00 PM,16.749,14.319,-10.987
451,03/25/24 10:30:00 PM,16.582,15.277,-10.219
452,03/25/24 10:45:00 PM,16.511,17.266,-8.576
453,03/25/24 11:00:00 PM,16.153,20.586,-6.427
454,03/25/24 11:15:00 PM,16.010,25.627,-3.501
455,03/25/24 11:30:00 PM,15.700,30.908,-1.152
456,03/25/24 11:45:00 PM,15.700,33.659,0.042
457,03/26/24 12:00:00 AM,15.485,35.201,0.480
458,03/26/24 12:15:00 AM,15.223,36.341,0.693
459,03/26/24 12:30:00 AM,15.318,37.705,1.295
460,03/26/24 12:45:00 AM,15.151,39.101,1.655
