"Plot Title: SL_G"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20061391, SEN S/N: 20061391, LBL: Temp)","RH, % (LGR S/N: 20061391, SEN S/N: 20061391, LBL: RH)","DewPt, °C (LGR S/N: 20061391, SEN S/N: 20061391)","Max: Temperature, °C (LGR S/N: 20061391)","Min: Temperature, °C (LGR S/N: 20061391)"
39,05/06/24 10:30:00 PM,17.082,97.104,16.288,17.082,17.082
40,05/06/24 10:45:00 PM,17.011,97.137,16.221,17.011,17.011
41,05/06/24 11:00:00 PM,16.963,97.202,16.182,16.963,16.963
42,05/06/24 11:15:00 PM,16.915,97.266,16.144,16.915,16.915
43,05/06/24 11:30:00 PM,16.796,97.312,16.031,16.796,16.796
44,05/06/24 11:45:00 PM,16.749,97.351,15.989,16.749,16.749
45,05/07/24 12:00:00 AM,16.749,97.402,15.996,16.749,16.749
46,05/07/24 12:15:00 AM,16.725,97.447,15.978,16.725,16.725
47,05/07/24 12:30:00 AM,16.677,97.486,15.936,16.677,16.677
48,05/07/24 12:45:00 AM,16.606,97.570,15.876,16.606,16.606
49,05/07/24 01:00:00 AM,16.511,97.621,15.787,16.511,16.511
50,05/07/24 01:15:00 AM,16.320,97.647,15.600,16.320,16.320
51,05/07/24 01:30:00 AM,16.344,97.705,15.632,16.344,16.344
52,05/07/24 01:45:00 AM,16.296,97.795,15.596,16.296,16.296
53,05/07/24 02:00:00 AM,16.129,97.853,15.437,16.129,16.129
54,05/07/24 02:15:00 AM,16.034,97.878,15.345,16.034,16.034
55,05/07/24 02:30:00 AM,16.010,97.974,15.334,16.010,16.010
56,05/07/24 02:45:00 AM,16.010,98.000,15.338,16.010,16.010
57,05/07/24 03:00:00 AM,16.010,98.025,15.341,16.010,16.010
58,05/07/24 03:15:00 AM,16.034,98.083,15.373,16.034,16.034
59,05/07/24 03:30:00 AM,16.082,98.096,15.423,16.082,16.082
60,05/07/24 03:45:00 AM,16.106,98.128,15.451,16.106,16.106
61,05/07/24 04:00:00 AM,16.177,98.173,15.529,16.177,16.177
62,05/07/24 04:15:00 AM,16.201,98.179,15.554,16.201,16.201
63,05/07/24 04:30:00 AM,16.249,98.192,15.603,16.249,16.249
64,05/07/24 04:45:00 AM,16.296,98.231,15.657,16.296,16.296
65,05/07/24 05:00:00 AM,16.368,98.276,15.734,16.368,16.368
66,05/07/24 05:15:00 AM,16.392,98.282,15.759,16.392,16.392
67,05/07/24 05:30:00 AM,16.415,98.340,15.791,16.415,16.415
68,05/07/24 05:45:00 AM,16.439,98.346,15.816,16.439,16.439
69,05/07/24 06:00:00 AM,16.487,98.385,15.869,16.487,16.487
70,05/07/24 06:15:00 AM,16.511,98.417,15.897,16.511,16.511
71,05/07/24 06:30:00 AM,16.558,98.430,15.947,16.558,16.558
72,05/07/24 06:45:00 AM,16.558,98.481,15.954,16.558,16.558
73,05/07/24 07:00:00 AM,16.630,98.500,16.028,16.630,16.630
74,05/07/24 07:15:00 AM,16.677,98.513,16.078,16.677,16.677
75,05/07/24 07:30:00 AM,16.749,98.533,16.152,16.749,16.749
76,05/07/24 07:45:00 AM,16.892,98.571,16.301,16.892,16.892
77,05/07/24 08:00:00 AM,17.034,98.584,16.446,17.034,17.034
78,05/07/24 08:15:00 AM,17.177,98.597,16.591,17.177,17.177
79,05/07/24 08:30:00 AM,17.439,98.668,16.864,17.439,17.439
80,05/07/24 08:45:00 AM,17.653,98.675,17.079,17.653,17.653
81,05/07/24 09:00:00 AM,18.010,98.669,17.437,18.010,18.010
82,05/07/24 09:15:00 AM,18.176,98.662,17.603,18.176,18.176
83,05/07/24 09:30:00 AM,18.699,98.700,18.133,18.699,18.699
84,05/07/24 09:45:00 AM,19.080,98.726,18.519,19.080,19.080
85,05/07/24 10:00:00 AM,19.341,98.718,18.781,19.341,19.341
86,05/07/24 10:15:00 AM,19.651,98.750,19.095,19.651,19.651
87,05/07/24 10:30:00 AM,19.817,98.743,19.262,19.817,19.817
88,05/07/24 10:45:00 AM,20.126,98.722,19.569,20.126,20.126
89,05/07/24 11:00:00 AM,20.746,98.655,20.181,20.746,20.746
90,05/07/24 11:15:00 AM,21.223,98.495,20.637,21.223,21.223
91,05/07/24 11:30:00 AM,21.795,95.749,20.810,21.795,21.795
92,05/07/24 11:45:00 AM,22.369,93.949,21.111,22.369,22.369
93,05/07/24 12:00:00 PM,22.465,92.305,20.951,22.465,22.465
94,05/07/24 12:15:00 PM,22.681,93.141,21.296,22.681,22.681
95,05/07/24 12:30:00 PM,22.920,92.472,21.430,22.920,22.920
96,05/07/24 12:45:00 PM,23.809,86.705,21.367,23.809,23.809
97,05/07/24 01:00:00 PM,23.617,90.439,21.798,23.617,23.617
98,05/07/24 01:15:00 PM,23.665,90.751,21.896,23.665,23.665
99,05/07/24 01:30:00 PM,23.761,90.802,22.000,23.761,23.761
100,05/07/24 01:45:00 PM,23.472,92.121,21.924,23.472,23.472
101,05/07/24 02:00:00 PM,23.112,93.357,21.760,23.112,23.112
102,05/07/24 02:15:00 PM,21.748,95.365,20.705,21.748,21.748
103,05/07/24 02:30:00 PM,20.984,96.121,20.053,20.984,20.984
104,05/07/24 02:45:00 PM,20.817,96.920,20.003,20.817,20.817
105,05/07/24 03:00:00 PM,20.603,97.179,19.826,20.603,20.603
106,05/07/24 03:15:00 PM,20.507,97.416,19.765,20.507,20.507
107,05/07/24 03:30:00 PM,20.627,97.683,19.923,20.627,20.627
108,05/07/24 03:45:00 PM,20.841,97.740,20.146,20.841,20.841
109,05/07/24 04:00:00 PM,21.366,97.905,20.696,21.366,21.366
110,05/07/24 04:15:00 PM,21.795,97.756,21.105,21.795,21.795
111,05/07/24 04:30:00 PM,22.250,97.402,21.509,22.250,22.250
112,05/07/24 04:45:00 PM,22.848,96.128,21.920,22.848,22.848
113,05/07/24 05:00:00 PM,22.992,96.032,22.049,22.992,22.992
114,05/07/24 05:15:00 PM,22.705,96.383,21.814,22.705,22.705
115,05/07/24 05:30:00 PM,22.441,97.030,21.646,22.441,22.441
116,05/07/24 05:45:00 PM,22.345,97.163,21.570,22.345,22.345
117,05/07/24 06:00:00 PM,22.441,97.426,21.704,22.441,22.441
118,05/07/24 06:15:00 PM,22.465,97.776,21.780,22.465,22.465
119,05/07/24 06:30:00 PM,22.250,97.982,21.594,22.250,22.250
120,05/07/24 06:45:00 PM,22.250,98.166,21.621,22.250,22.250
121,05/07/24 07:00:00 PM,21.819,98.026,21.168,21.819,21.819
122,05/07/24 07:15:00 PM,21.676,98.197,21.050,21.676,21.676
123,05/07/24 07:30:00 PM,21.461,98.271,20.845,21.461,21.461
124,05/07/24 07:45:00 PM,21.127,98.339,20.519,21.127,21.127
125,05/07/24 08:00:00 PM,20.936,98.419,20.339,20.936,20.936
126,05/07/24 08:15:00 PM,20.793,98.511,20.209,20.793,20.793
127,05/07/24 08:30:00 PM,20.555,98.577,19.979,20.555,20.555
128,05/07/24 08:45:00 PM,20.388,98.585,19.813,20.388,20.388
129,05/07/24 09:00:00 PM,20.365,98.708,19.806,20.365,20.365
130,05/07/24 09:15:00 PM,20.126,98.748,19.573,20.126,20.126
131,05/07/24 09:30:00 PM,20.031,98.827,19.489,20.031,20.031
132,05/07/24 09:45:00 PM,19.817,98.847,19.276,19.817,19.817
133,05/07/24 10:00:00 PM,19.651,98.905,19.117,19.651,19.651
134,05/07/24 10:15:00 PM,19.532,98.925,19.001,19.532,19.532
135,05/07/24 10:30:00 PM,19.413,98.997,18.891,19.413,19.413
136,05/07/24 10:45:00 PM,19.318,99.023,18.799,19.318,19.318
137,05/07/24 11:00:00 PM,19.175,99.036,18.658,19.175,19.175
138,05/07/24 11:15:00 PM,19.080,99.113,18.573,19.080,19.080
139,05/07/24 11:30:00 PM,18.985,99.139,18.481,18.985,18.985
140,05/07/24 11:45:00 PM,18.866,99.158,18.364,18.866,18.866
141,05/08/24 12:00:00 AM,18.842,99.178,18.343,18.842,18.842
142,05/08/24 12:15:00 AM,18.794,99.190,18.297,18.794,18.794
143,05/08/24 12:30:00 AM,18.794,99.242,18.304,18.794,18.794
144,05/08/24 12:45:00 AM,18.747,99.281,18.262,18.747,18.747
145,05/08/24 01:00:00 AM,18.675,99.287,18.191,18.675,18.675
146,05/08/24 01:15:00 AM,18.557,99.306,18.074,18.557,18.557
147,05/08/24 01:30:00 AM,18.438,99.299,17.954,18.438,18.438
148,05/08/24 01:45:00 AM,18.343,99.325,17.862,18.343,18.343
149,05/08/24 02:00:00 AM,18.271,99.357,17.795,18.271,18.271
150,05/08/24 02:15:00 AM,18.271,99.383,17.798,18.271,18.271
151,05/08/24 02:30:00 AM,18.271,99.408,17.802,18.271,18.271
152,05/08/24 02:45:00 AM,18.295,99.415,17.826,18.295,18.295
153,05/08/24 03:00:00 AM,18.319,99.421,17.851,18.319,18.319
154,05/08/24 03:15:00 AM,18.343,99.453,17.880,18.343,18.343
155,05/08/24 03:30:00 AM,18.319,99.473,17.858,18.319,18.319
156,05/08/24 03:45:00 AM,18.247,99.453,17.784,18.247,18.247
157,05/08/24 04:00:00 AM,18.176,99.485,17.717,18.176,18.176
158,05/08/24 04:15:00 AM,18.081,99.510,17.625,18.081,18.081
159,05/08/24 04:30:00 AM,17.938,99.497,17.479,17.938,17.938
160,05/08/24 04:45:00 AM,17.843,99.522,17.387,17.843,17.843
161,05/08/24 05:00:00 AM,17.796,99.535,17.341,17.796,17.796
162,05/08/24 05:15:00 AM,17.772,99.554,17.320,17.772,17.772
163,05/08/24 05:30:00 AM,17.772,99.580,17.323,17.772,17.772
164,05/08/24 05:45:00 AM,17.724,99.567,17.274,17.724,17.724
165,05/08/24 06:00:00 AM,17.701,99.560,17.249,17.701,17.701
166,05/08/24 06:15:00 AM,18.081,99.613,17.639,18.081,18.081
167,05/08/24 06:30:00 AM,17.653,99.547,17.199,17.653,17.653
168,05/08/24 06:45:00 AM,17.558,99.547,17.104,17.558,17.558
169,05/08/24 07:00:00 AM,17.558,99.521,17.100,17.558,17.558
170,05/08/24 07:15:00 AM,17.439,99.540,16.983,17.439,17.439
171,05/08/24 07:30:00 AM,17.415,99.533,16.958,17.415,17.415
172,05/08/24 07:45:00 AM,17.415,99.533,16.958,17.415,17.415
173,05/08/24 08:00:00 AM,17.391,99.552,16.937,17.391,17.391
174,05/08/24 08:15:00 AM,17.439,99.565,16.987,17.439,17.439
175,05/08/24 08:30:00 AM,17.415,99.584,16.965,17.415,17.415
176,05/08/24 08:45:00 AM,17.510,99.610,17.065,17.510,17.510
177,05/08/24 09:00:00 AM,17.605,99.585,17.157,17.605,17.605
178,05/08/24 09:15:00 AM,17.819,99.593,17.373,17.819,17.819
179,05/08/24 09:30:00 AM,17.986,99.587,17.539,17.986,17.986
180,05/08/24 09:45:00 AM,18.010,99.594,17.564,18.010,18.010
181,05/08/24 10:00:00 AM,18.129,99.575,17.681,18.129,18.129
182,05/08/24 10:15:00 AM,18.224,99.549,17.773,18.224,18.224
183,05/08/24 10:30:00 AM,18.200,99.543,17.749,18.200,18.200
184,05/08/24 10:45:00 AM,18.390,99.441,17.926,18.390,18.390
185,05/08/24 11:00:00 AM,18.485,99.415,18.018,18.485,18.485
186,05/08/24 11:15:00 AM,18.580,99.390,18.110,18.580,18.580
187,05/08/24 11:30:00 AM,18.604,99.396,18.135,18.604,18.604
188,05/08/24 11:45:00 AM,18.675,99.416,18.209,18.675,18.675
189,05/08/24 12:00:00 PM,18.652,99.409,18.184,18.652,18.652
190,05/08/24 12:15:00 PM,18.747,99.435,18.283,18.747,18.747
191,05/08/24 12:30:00 PM,18.699,99.474,18.241,18.699,18.699
192,05/08/24 12:45:00 PM,18.652,99.461,18.191,18.652,18.652
193,05/08/24 01:00:00 PM,18.675,99.519,18.223,18.675,18.675
194,05/08/24 01:15:00 PM,18.390,99.441,17.926,18.390,18.390
195,05/08/24 01:30:00 PM,18.390,99.287,17.904,18.390,18.390
196,05/08/24 01:45:00 PM,18.224,98.366,17.609,18.224,18.224
197,05/08/24 02:00:00 PM,18.152,97.623,17.434,18.152,18.152
198,05/08/24 02:15:00 PM,18.438,98.475,17.839,18.438,18.438
199,05/08/24 02:30:00 PM,18.533,98.320,17.913,18.533,18.533
200,05/08/24 02:45:00 PM,18.794,97.846,18.109,18.794,18.794
201,05/08/24 03:00:00 PM,19.008,97.799,18.317,19.008,19.008
202,05/08/24 03:15:00 PM,19.365,95.647,18.364,19.365,19.365
203,05/08/24 03:30:00 PM,20.507,89.959,18.636,20.507,20.507
204,05/08/24 03:45:00 PM,20.246,93.386,18.907,20.246,20.246
205,05/08/24 04:00:00 PM,20.031,94.924,18.924,20.031,20.031
206,05/08/24 04:15:00 PM,19.984,93.586,18.676,19.984,19.984
207,05/08/24 04:30:00 PM,20.103,90.806,18.367,20.103,20.103
208,05/08/24 04:45:00 PM,19.841,92.137,18.313,19.841,19.841
209,05/08/24 05:00:00 PM,20.198,90.694,18.444,20.198,20.198
210,05/08/24 05:15:00 PM,19.984,94.647,18.835,19.984,19.984
211,05/08/24 05:30:00 PM,20.079,94.088,18.847,20.079,20.079
212,05/08/24 05:45:00 PM,19.888,94.702,18.748,19.888,19.888
213,05/08/24 06:00:00 PM,19.770,95.910,18.807,19.770,19.770
214,05/08/24 06:15:00 PM,19.579,96.438,18.694,19.579,19.579
215,05/08/24 06:30:00 PM,19.508,96.811,18.676,19.508,19.508
216,05/08/24 06:45:00 PM,19.318,96.996,18.512,19.318,19.318
217,05/08/24 07:00:00 PM,19.222,97.440,18.480,19.222,19.222
218,05/08/24 07:15:00 PM,19.032,97.702,18.327,19.032,19.032
219,05/08/24 07:30:00 PM,18.842,98.040,18.184,18.842,18.842
220,05/08/24 07:45:00 PM,18.557,98.145,17.912,18.557,18.557
221,05/08/24 08:00:00 PM,18.438,98.268,17.810,18.438,18.438
222,05/08/24 08:15:00 PM,18.224,98.417,17.617,18.224,18.224
223,05/08/24 08:30:00 PM,18.224,98.623,17.645,18.224,18.224
224,05/08/24 08:45:00 PM,18.057,98.759,17.497,18.057,18.057
225,05/08/24 09:00:00 PM,18.081,98.971,17.550,18.081,18.081
226,05/08/24 09:15:00 PM,18.105,98.746,17.543,18.105,18.105
227,05/08/24 09:30:00 PM,18.033,98.830,17.483,18.033,18.033
228,05/08/24 09:45:00 PM,17.986,98.920,17.448,17.986,17.986
229,05/08/24 10:00:00 PM,17.962,99.016,17.437,17.962,17.962
230,05/08/24 10:15:00 PM,17.843,99.086,17.327,17.843,17.843
231,05/08/24 10:30:00 PM,17.748,99.137,17.239,17.748,17.748
232,05/08/24 10:45:00 PM,17.724,99.208,17.225,17.724,17.724
233,05/08/24 11:00:00 PM,17.677,99.246,17.182,17.677,17.677
234,05/08/24 11:15:00 PM,17.320,99.200,16.817,17.320,17.320
235,05/08/24 11:30:00 PM,17.177,99.212,16.676,17.177,17.177
236,05/08/24 11:45:00 PM,17.130,99.199,16.626,17.130,17.130
237,05/09/24 12:00:00 AM,16.939,99.199,16.435,16.939,16.939
238,05/09/24 12:15:00 AM,16.749,99.044,16.222,16.749,16.749
239,05/09/24 12:30:00 AM,16.701,98.980,16.166,16.701,16.701
240,05/09/24 12:45:00 AM,16.511,99.082,15.988,16.511,16.511
241,05/09/24 01:00:00 AM,16.439,99.164,15.927,16.439,16.439
242,05/09/24 01:15:00 AM,16.344,99.240,15.842,16.344,16.344
243,05/09/24 01:30:00 AM,16.225,99.258,15.725,16.225,16.225
244,05/09/24 01:45:00 AM,16.201,99.303,15.707,16.201,16.201
245,05/09/24 02:00:00 AM,16.153,99.341,15.664,16.153,16.153
246,05/09/24 02:15:00 AM,16.082,99.346,15.593,16.082,16.082
247,05/09/24 02:30:00 AM,16.058,99.416,15.579,16.058,16.058
248,05/09/24 02:45:00 AM,16.225,99.462,15.752,16.225,16.225
249,05/09/24 03:00:00 AM,16.249,99.469,15.777,16.249,16.249
250,05/09/24 03:15:00 AM,16.272,99.501,15.805,16.272,16.272
251,05/09/24 03:30:00 AM,16.129,99.512,15.663,16.129,16.129
252,05/09/24 03:45:00 AM,16.058,99.518,15.592,16.058,16.058
253,05/09/24 04:00:00 AM,15.843,99.535,15.379,15.843,15.843
254,05/09/24 04:15:00 AM,15.772,99.566,15.311,15.772,15.772
255,05/09/24 04:30:00 AM,15.796,99.598,15.339,15.796,15.796
256,05/09/24 04:45:00 AM,15.939,99.637,15.489,15.939,15.939
257,05/09/24 05:00:00 AM,15.986,99.651,15.538,15.986,15.986
258,05/09/24 05:15:00 AM,15.963,99.644,15.513,15.963,15.963
259,05/09/24 05:30:00 AM,15.986,99.701,15.545,15.986,15.986
260,05/09/24 05:45:00 AM,16.010,99.708,15.570,16.010,16.010
261,05/09/24 06:00:00 AM,16.082,99.728,15.644,16.082,16.082
262,05/09/24 06:15:00 AM,16.106,99.734,15.669,16.106,16.106
263,05/09/24 06:30:00 AM,16.177,99.754,15.744,16.177,16.177
264,05/09/24 06:45:00 AM,16.201,99.761,15.769,16.201,16.201
265,05/09/24 07:00:00 AM,16.201,99.761,15.769,16.201,16.201
266,05/09/24 07:15:00 AM,16.177,99.754,15.744,16.177,16.177
267,05/09/24 07:30:00 AM,16.272,99.780,15.843,16.272,16.272
268,05/09/24 07:45:00 AM,16.368,99.806,15.943,16.368,16.368
269,05/09/24 08:00:00 AM,16.463,99.858,16.045,16.463,16.463
270,05/09/24 08:15:00 AM,16.630,99.777,16.202,16.630,16.630
271,05/09/24 08:30:00 AM,16.558,99.706,16.121,16.558,16.558
272,05/09/24 08:45:00 AM,16.630,99.726,16.195,16.630,16.630
273,05/09/24 09:00:00 AM,16.725,99.752,16.294,16.725,16.725
274,05/09/24 09:15:00 AM,16.915,99.754,16.486,16.915,16.915
275,05/09/24 09:30:00 AM,17.130,99.761,16.702,17.130,17.130
276,05/09/24 09:45:00 AM,17.415,99.789,16.993,17.415,17.415
277,05/09/24 10:00:00 AM,17.748,99.778,17.327,17.748,17.748
278,05/09/24 10:15:00 AM,17.796,99.586,17.348,17.796,17.796
279,05/09/24 10:30:00 AM,18.176,99.048,17.656,18.176,18.176
280,05/09/24 10:45:00 AM,18.485,97.400,17.736,18.485,18.485
281,05/09/24 11:00:00 AM,18.842,97.235,18.070,18.842,18.842
282,05/09/24 11:15:00 AM,19.270,97.921,18.596,19.270,19.270
283,05/09/24 11:30:00 AM,19.793,94.492,18.622,19.793,19.793
284,05/09/24 11:45:00 AM,20.198,95.257,19.140,20.198,20.198
285,05/09/24 12:00:00 PM,20.627,94.547,19.462,20.627,20.627
286,05/09/24 12:15:00 PM,21.056,92.305,19.548,21.056,21.056
287,05/09/24 12:30:00 PM,21.939,82.820,18.852,21.939,21.939
288,05/09/24 12:45:00 PM,21.557,92.107,20.016,21.557,21.557
289,05/09/24 01:00:00 PM,21.843,89.629,19.908,21.843,21.843
290,05/09/24 01:15:00 PM,23.328,74.561,18.653,23.328,23.328
291,05/09/24 01:30:00 PM,23.905,73.447,18.986,23.905,23.905
292,05/09/24 01:45:00 PM,23.905,69.611,18.179,23.905,23.905
293,05/09/24 02:00:00 PM,24.098,69.349,18.307,24.098,24.098
294,05/09/24 02:15:00 PM,24.050,68.565,18.089,24.050,24.050
295,05/09/24 02:30:00 PM,23.761,76.361,19.429,23.761,23.761
296,05/09/24 02:45:00 PM,23.833,70.043,18.203,23.833,23.833
297,05/09/24 03:00:00 PM,23.833,71.050,18.417,23.833,23.833
298,05/09/24 03:15:00 PM,24.195,70.880,18.729,24.195,24.195
299,05/09/24 03:30:00 PM,23.088,75.705,18.647,23.088,23.088
300,05/09/24 03:45:00 PM,23.881,72.386,18.744,23.881,23.881
301,05/09/24 04:00:00 PM,23.064,84.331,20.223,23.064,23.064
302,05/09/24 04:15:00 PM,24.267,72.253,19.088,24.267,24.267
303,05/09/24 04:30:00 PM,25.404,67.698,19.192,25.404,25.404
304,05/09/24 04:45:00 PM,24.847,66.908,18.481,24.847,24.847
305,05/09/24 05:00:00 PM,25.065,70.567,19.499,25.065,25.065
306,05/09/24 05:15:00 PM,23.136,80.082,19.529,23.136,23.136
307,05/09/24 05:30:00 PM,23.448,71.744,18.193,23.448,23.448
308,05/09/24 05:45:00 PM,23.064,76.654,18.809,23.064,23.064
309,05/09/24 06:00:00 PM,22.537,83.008,19.472,22.537,22.537
310,05/09/24 06:15:00 PM,21.987,82.858,18.906,21.987,21.987
311,05/09/24 06:30:00 PM,23.160,72.630,18.098,23.160,23.160
312,05/09/24 06:45:00 PM,22.369,75.648,17.938,22.369,22.369
313,05/09/24 07:00:00 PM,21.748,82.357,18.582,21.748,21.748
314,05/09/24 07:15:00 PM,20.674,87.658,18.429,20.674,20.674
315,05/09/24 07:30:00 PM,20.269,88.245,18.125,20.269,20.269
316,05/09/24 07:45:00 PM,19.984,89.345,18.018,19.984,19.984
317,05/09/24 08:00:00 PM,19.579,89.977,17.717,19.579,19.579
318,05/09/24 08:15:00 PM,19.222,90.375,17.426,19.222,19.222
319,05/09/24 08:30:00 PM,18.818,89.819,16.938,18.818,18.818
320,05/09/24 08:45:00 PM,18.438,89.780,16.554,18.438,18.438
321,05/09/24 09:00:00 PM,18.057,91.319,16.414,18.057,18.057
322,05/09/24 09:15:00 PM,17.701,92.611,16.254,17.701,17.701
323,05/09/24 09:30:00 PM,17.368,93.134,16.001,17.368,17.368
324,05/09/24 09:45:00 PM,17.106,93.856,15.846,17.106,17.106
325,05/09/24 10:00:00 PM,16.892,94.351,15.704,16.892,16.892
326,05/09/24 10:15:00 PM,16.677,94.818,15.558,16.677,16.677
327,05/09/24 10:30:00 PM,16.511,95.165,15.441,16.511,16.511
328,05/09/24 10:45:00 PM,16.344,95.563,15.331,16.344,16.344
329,05/09/24 11:00:00 PM,16.153,95.875,15.185,16.153,16.153
330,05/09/24 11:15:00 PM,15.939,96.155,15.010,15.939,15.939
331,05/09/24 11:30:00 PM,15.772,96.317,14.866,15.772,15.772
332,05/09/24 11:45:00 PM,15.676,96.472,14.792,15.676,15.676
333,05/10/24 12:00:00 AM,15.533,96.666,14.675,15.533,15.533
334,05/10/24 12:15:00 AM,15.366,96.724,14.516,15.366,15.366
335,05/10/24 12:30:00 AM,15.175,96.827,14.339,15.175,15.175
336,05/10/24 12:45:00 AM,15.055,96.898,14.229,15.055,15.055
337,05/10/24 01:00:00 AM,15.008,97.039,14.201,15.008,15.008
338,05/10/24 01:15:00 AM,14.840,97.096,14.041,14.840,14.840
339,05/10/24 01:30:00 AM,14.768,97.230,13.987,14.768,14.768
340,05/10/24 01:45:00 AM,14.768,97.332,14.001,14.768,14.768
341,05/10/24 02:00:00 AM,14.721,97.320,13.952,14.721,14.721
342,05/10/24 02:15:00 AM,14.697,97.364,13.934,14.697,14.697
343,05/10/24 02:30:00 AM,14.745,97.479,13.997,14.745,14.745
344,05/10/24 02:45:00 AM,14.697,97.568,13.962,14.697,14.697
345,05/10/24 03:00:00 AM,14.625,97.549,13.887,14.625,14.625
346,05/10/24 03:15:00 AM,14.601,97.593,13.869,14.601,14.601
347,05/10/24 03:30:00 AM,14.457,97.606,13.727,14.457,14.457
348,05/10/24 03:45:00 AM,14.314,97.567,13.577,14.314,14.314
349,05/10/24 04:00:00 AM,14.170,97.528,13.428,14.170,14.170
350,05/10/24 04:15:00 AM,13.978,97.527,13.235,13.978,13.978
351,05/10/24 04:30:00 AM,13.858,97.545,13.118,13.858,13.858
352,05/10/24 04:45:00 AM,13.930,97.768,13.220,13.930,13.930
353,05/10/24 05:00:00 AM,13.930,97.920,13.240,13.930,13.930
354,05/10/24 05:15:00 AM,13.786,97.831,13.084,13.786,13.786
355,05/10/24 05:30:00 AM,13.594,97.753,12.881,13.594,13.594
356,05/10/24 05:45:00 AM,13.546,97.765,12.834,13.546,13.546
357,05/10/24 06:00:00 AM,13.522,97.961,12.836,13.522,13.522
358,05/10/24 06:15:00 AM,13.594,98.032,12.918,13.594,13.594
359,05/10/24 06:30:00 AM,13.353,97.966,12.668,13.353,13.353
360,05/10/24 06:45:00 AM,13.329,98.036,12.653,13.329,13.329
361,05/10/24 07:00:00 AM,13.546,98.120,12.882,13.546,13.546
362,05/10/24 07:15:00 AM,13.738,98.122,13.075,13.738,13.738
363,05/10/24 07:30:00 AM,13.834,98.097,13.168,13.834,13.834
364,05/10/24 07:45:00 AM,14.050,98.055,13.379,14.050,14.050
365,05/10/24 08:00:00 AM,14.266,98.012,13.589,14.266,14.266
366,05/10/24 08:15:00 AM,14.553,97.988,13.875,14.553,14.553
367,05/10/24 08:30:00 AM,14.888,97.365,14.126,14.888,14.888
368,05/10/24 08:45:00 AM,15.294,92.921,13.903,15.294,15.294
