"Plot Title: NL_G"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10342594, SEN S/N: 10342594, LBL: Temp (C))","RH, % (LGR S/N: 10342594, SEN S/N: 10342594, LBL: RH (%))","DewPt, °C (LGR S/N: 10342594, SEN S/N: 10342594)","Max: Temperature, °C (LGR S/N: 10342594)","Min: Temperature, °C (LGR S/N: 10342594)"
79,05/21/24 04:45:00 AM,,,,14.194,14.194
80,05/21/24 04:46:43 AM,14.194,98.930,13.641,,
81,05/21/24 05:00:00 AM,,,,14.122,14.122
82,05/21/24 05:01:43 AM,14.122,99.036,13.582,,
83,05/21/24 05:15:00 AM,,,,14.074,14.074
84,05/21/24 05:16:43 AM,14.074,99.073,13.539,,
85,05/21/24 05:30:00 AM,,,,13.978,13.978
86,05/21/24 05:31:43 AM,13.978,99.350,13.479,,
87,05/21/24 05:45:00 AM,,,,13.834,13.834
88,05/21/24 05:46:43 AM,13.834,99.411,13.343,,
89,05/21/24 06:00:00 AM,,,,13.762,13.762
90,05/21/24 06:01:43 AM,13.762,99.391,13.268,,
91,05/21/24 06:15:00 AM,,,,13.690,13.690
92,05/21/24 06:16:43 AM,13.690,99.396,13.196,,
93,05/21/24 06:30:00 AM,,,,13.546,13.546
94,05/21/24 06:31:43 AM,13.546,99.331,13.043,,
95,05/21/24 06:45:00 AM,,,,13.618,13.618
96,05/21/24 06:46:43 AM,13.618,99.552,13.144,,
97,05/21/24 07:00:00 AM,,,,13.690,13.690
98,05/21/24 07:01:43 AM,13.690,99.648,13.229,,
99,05/21/24 07:15:00 AM,,,,13.930,13.930
100,05/21/24 07:16:43 AM,13.930,99.488,13.449,,
101,05/21/24 07:30:00 AM,,,,14.385,14.385
102,05/21/24 07:31:43 AM,14.385,98.729,13.806,,
103,05/21/24 07:45:00 AM,,,,14.888,14.888
104,05/21/24 07:46:43 AM,14.888,97.952,14.206,,
105,05/21/24 08:00:00 AM,,,,15.318,15.318
106,05/21/24 08:01:43 AM,15.318,97.583,14.587,,
107,05/21/24 08:15:00 AM,,,,15.700,15.700
108,05/21/24 08:16:43 AM,15.700,97.429,14.948,,
109,05/21/24 08:30:00 AM,,,,15.915,15.915
110,05/21/24 08:31:43 AM,15.915,97.050,15.111,,
111,05/21/24 08:45:00 AM,,,,16.344,16.344
112,05/21/24 08:46:43 AM,16.344,96.314,15.438,,
113,05/21/24 09:00:00 AM,,,,16.868,16.868
114,05/21/24 09:01:43 AM,16.868,96.090,15.930,,
115,05/21/24 09:15:00 AM,,,,17.344,17.344
116,05/21/24 09:16:43 AM,17.344,95.747,16.358,,
117,05/21/24 09:30:00 AM,,,,18.461,18.461
118,05/21/24 09:31:43 AM,18.461,94.651,17.316,,
119,05/21/24 09:45:00 AM,,,,19.984,19.984
120,05/21/24 09:46:43 AM,19.984,91.797,18.403,,
121,05/21/24 10:00:00 AM,,,,20.555,20.555
122,05/21/24 10:01:43 AM,20.555,90.404,18.753,,
123,05/21/24 10:15:00 AM,,,,21.008,21.008
124,05/21/24 10:16:43 AM,21.008,89.184,19.008,,
125,05/21/24 10:30:00 AM,,,,21.748,21.748
126,05/21/24 10:31:43 AM,21.748,88.322,19.600,,
127,05/21/24 10:45:00 AM,,,,22.321,22.321
128,05/21/24 10:46:43 AM,22.321,87.054,19.957,,
129,05/21/24 11:00:00 AM,,,,23.184,23.184
130,05/21/24 11:01:43 AM,23.184,82.559,20.028,,
131,05/21/24 11:15:00 AM,,,,23.545,23.545
132,05/21/24 11:16:43 AM,23.545,82.694,20.405,,
133,05/21/24 11:30:00 AM,,,,24.002,24.002
134,05/21/24 11:31:43 AM,24.002,80.208,20.399,,
135,05/21/24 11:45:00 AM,,,,24.726,24.726
136,05/21/24 11:46:43 AM,24.726,74.602,20.014,,
137,05/21/24 12:00:00 PM,,,,25.210,25.210
138,05/21/24 12:01:43 PM,25.210,71.811,19.904,,
139,05/21/24 12:15:00 PM,,,,25.574,25.574
140,05/21/24 12:16:43 PM,25.574,71.523,20.194,,
141,05/21/24 12:30:00 PM,,,,25.890,25.890
142,05/21/24 12:31:43 PM,25.890,69.346,20.025,,
143,05/21/24 12:45:00 PM,,,,26.378,26.378
144,05/21/24 12:46:43 PM,26.378,63.863,19.226,,
145,05/21/24 01:00:00 PM,,,,25.987,25.987
146,05/21/24 01:01:43 PM,25.987,66.504,19.477,,
147,05/21/24 01:15:00 PM,,,,26.280,26.280
148,05/21/24 01:16:43 PM,26.280,65.888,19.613,,
149,05/21/24 01:30:00 PM,,,,26.867,26.867
150,05/21/24 01:31:43 PM,26.867,59.380,18.565,,
151,05/21/24 01:45:00 PM,,,,27.161,27.161
152,05/21/24 01:46:43 PM,27.161,59.177,18.789,,
153,05/21/24 02:00:00 PM,,,,27.210,27.210
154,05/21/24 02:01:43 PM,27.210,56.338,18.073,,
155,05/21/24 02:15:00 PM,,,,27.554,27.554
156,05/21/24 02:16:43 PM,27.554,57.581,18.734,,
157,05/21/24 02:30:00 PM,,,,27.284,27.284
158,05/21/24 02:31:43 PM,27.284,60.563,19.263,,
159,05/21/24 02:45:00 PM,,,,27.456,27.456
160,05/21/24 02:46:43 PM,27.456,58.910,18.996,,
161,05/21/24 03:00:00 PM,,,,27.949,27.949
162,05/21/24 03:01:43 PM,27.949,55.216,18.450,,
163,05/21/24 03:15:00 PM,,,,27.284,27.284
164,05/21/24 03:16:43 PM,27.284,56.537,18.197,,
165,05/21/24 03:30:00 PM,,,,28.147,28.147
166,05/21/24 03:31:43 PM,28.147,56.538,19.003,,
167,05/21/24 03:45:00 PM,,,,27.801,27.801
168,05/21/24 03:46:43 PM,27.801,59.369,19.441,,
169,05/21/24 04:00:00 PM,,,,28.543,28.543
170,05/21/24 04:01:43 PM,28.543,53.301,18.451,,
171,05/21/24 04:15:00 PM,,,,27.998,27.998
172,05/21/24 04:16:43 PM,27.998,55.792,18.657,,
173,05/21/24 04:30:00 PM,,,,28.766,28.766
174,05/21/24 04:31:43 PM,28.766,54.350,18.963,,
175,05/21/24 04:45:00 PM,,,,28.147,28.147
176,05/21/24 04:46:43 PM,28.147,56.790,19.072,,
177,05/21/24 05:00:00 PM,,,,27.875,27.875
178,05/21/24 05:01:43 PM,27.875,56.593,18.764,,
179,05/21/24 05:15:00 PM,,,,27.850,27.850
180,05/21/24 05:16:43 PM,27.850,58.783,19.333,,
181,05/21/24 05:30:00 PM,,,,27.751,27.751
182,05/21/24 05:31:43 PM,27.751,57.987,19.028,,
183,05/21/24 05:45:00 PM,,,,27.554,27.554
184,05/21/24 05:46:43 PM,27.554,59.798,19.321,,
185,05/21/24 06:00:00 PM,,,,27.284,27.284
186,05/21/24 06:01:43 PM,27.284,58.447,18.712,,
187,05/21/24 06:15:00 PM,,,,26.695,26.695
188,05/21/24 06:16:43 PM,26.695,59.571,18.454,,
189,05/21/24 06:30:00 PM,,,,26.573,26.573
190,05/21/24 06:31:43 PM,26.573,61.316,18.784,,
191,05/21/24 06:45:00 PM,,,,26.207,26.207
192,05/21/24 06:46:43 PM,26.207,63.438,18.961,,
193,05/21/24 07:00:00 PM,,,,25.720,25.720
194,05/21/24 07:01:43 PM,25.720,66.971,19.329,,
195,05/21/24 07:15:00 PM,,,,25.210,25.210
196,05/21/24 07:16:43 PM,25.210,69.521,19.411,,
197,05/21/24 07:30:00 PM,,,,24.629,24.629
198,05/21/24 07:31:43 PM,24.629,73.264,19.647,,
199,05/21/24 07:45:00 PM,,,,23.713,23.713
200,05/21/24 07:46:43 PM,23.713,78.371,19.771,,
201,05/21/24 08:00:00 PM,,,,23.016,23.016
202,05/21/24 08:01:43 PM,23.016,80.938,19.569,,
203,05/21/24 08:15:00 PM,,,,22.513,22.513
204,05/21/24 08:16:43 PM,22.513,83.424,19.522,,
205,05/21/24 08:30:00 PM,,,,22.011,22.011
206,05/21/24 08:31:43 PM,22.011,86.208,19.508,,
207,05/21/24 08:45:00 PM,,,,21.604,21.604
208,05/21/24 08:46:43 PM,21.604,87.712,19.358,,
209,05/21/24 09:00:00 PM,,,,21.175,21.175
210,05/21/24 09:01:43 PM,21.175,89.958,19.297,,
211,05/21/24 09:15:00 PM,,,,20.793,20.793
212,05/21/24 09:16:43 PM,20.793,91.406,19.148,,
213,05/21/24 09:30:00 PM,,,,20.460,20.460
214,05/21/24 09:31:43 PM,20.460,92.639,19.007,,
215,05/21/24 09:45:00 PM,,,,20.150,20.150
216,05/21/24 09:46:43 PM,20.150,93.389,18.812,,
217,05/21/24 10:00:00 PM,,,,19.793,19.793
218,05/21/24 10:01:43 PM,19.793,94.572,18.634,,
219,05/21/24 10:15:00 PM,,,,19.484,19.484
220,05/21/24 10:16:43 PM,19.484,95.336,18.438,,
221,05/21/24 10:30:00 PM,,,,19.270,19.270
222,05/21/24 10:31:43 PM,19.270,95.780,18.289,,
223,05/21/24 10:45:00 PM,,,,19.032,19.032
224,05/21/24 10:46:43 PM,19.032,96.294,18.125,,
225,05/21/24 11:00:00 PM,,,,18.866,18.866
226,05/21/24 11:01:43 PM,18.866,96.407,17.975,,
227,05/21/24 11:15:00 PM,,,,18.652,18.652
228,05/21/24 11:16:43 PM,18.652,97.029,17.850,,
229,05/21/24 11:30:00 PM,,,,18.414,18.414
230,05/21/24 11:31:43 PM,18.414,97.225,17.640,,
231,05/21/24 11:45:00 PM,,,,18.176,18.176
232,05/21/24 11:46:43 PM,18.176,97.577,17.451,,
233,05/22/24 12:00:00 AM,,,,18.033,18.033
234,05/22/24 12:01:43 AM,18.033,97.824,17.343,,
235,05/22/24 12:15:00 AM,,,,17.891,17.891
236,05/22/24 12:16:43 AM,17.891,97.992,17.223,,
237,05/22/24 12:30:00 AM,,,,17.701,17.701
238,05/22/24 12:31:43 AM,17.701,98.173,17.058,,
239,05/22/24 12:45:00 AM,,,,17.605,17.605
240,05/22/24 12:46:43 AM,17.605,98.199,16.966,,
241,05/22/24 01:00:00 AM,,,,17.415,17.415
242,05/22/24 01:01:43 AM,17.415,98.405,16.803,,
243,05/22/24 01:15:00 AM,,,,17.296,17.296
244,05/22/24 01:16:43 AM,17.296,98.578,16.708,,
245,05/22/24 01:30:00 AM,,,,17.177,17.177
246,05/22/24 01:31:43 AM,17.177,98.597,16.591,,
247,05/22/24 01:45:00 AM,,,,16.987,16.987
248,05/22/24 01:46:43 AM,16.987,98.802,16.428,,
249,05/22/24 02:00:00 AM,,,,16.892,16.892
250,05/22/24 02:01:43 AM,16.892,98.879,16.343,,
251,05/22/24 02:15:00 AM,,,,16.796,16.796
252,05/22/24 02:16:43 AM,16.796,98.955,16.258,,
253,05/22/24 02:30:00 AM,,,,16.654,16.654
254,05/22/24 02:31:43 AM,16.654,99.018,16.123,,
255,05/22/24 02:45:00 AM,,,,16.558,16.558
256,05/22/24 02:46:43 AM,16.558,99.095,16.038,,
257,05/22/24 03:00:00 AM,,,,16.415,16.415
258,05/22/24 03:01:43 AM,16.415,99.209,15.910,,
259,05/22/24 03:15:00 AM,,,,16.344,16.344
260,05/22/24 03:16:43 AM,16.344,99.240,15.842,,
261,05/22/24 03:30:00 AM,,,,16.201,16.201
262,05/22/24 03:31:43 AM,16.201,99.150,15.686,,
263,05/22/24 03:45:00 AM,,,,16.082,16.082
264,05/22/24 03:46:43 AM,16.082,99.397,15.600,,
265,05/22/24 04:00:00 AM,,,,16.010,16.010
266,05/22/24 04:01:43 AM,16.010,99.428,15.532,,
267,05/22/24 04:15:00 AM,,,,15.963,15.963
268,05/22/24 04:16:43 AM,15.963,99.441,15.486,,
269,05/22/24 04:30:00 AM,,,,15.891,15.891
270,05/22/24 04:31:43 AM,15.891,99.421,15.411,,
271,05/22/24 04:45:00 AM,,,,15.843,15.843
272,05/22/24 04:46:43 AM,15.843,99.560,15.382,,
273,05/22/24 05:00:00 AM,,,,15.748,15.748
274,05/22/24 05:01:43 AM,15.748,99.686,15.303,,
275,05/22/24 05:15:00 AM,,,,15.629,15.629
276,05/22/24 05:16:43 AM,15.629,99.577,15.169,,
277,05/22/24 05:30:00 AM,,,,15.533,15.533
278,05/22/24 05:31:43 AM,15.533,99.729,15.093,,
279,05/22/24 05:45:00 AM,,,,15.414,15.414
280,05/22/24 05:46:43 AM,15.414,99.746,14.975,,
281,05/22/24 06:00:00 AM,,,,15.366,15.366
282,05/22/24 06:01:43 AM,15.366,99.834,14.939,,
283,05/22/24 06:15:00 AM,,,,15.294,15.294
284,05/22/24 06:16:43 AM,15.294,99.840,14.868,,
285,05/22/24 06:30:00 AM,,,,15.318,15.318
286,05/22/24 06:31:43 AM,15.318,99.872,14.896,,
287,05/22/24 06:45:00 AM,,,,15.390,15.390
288,05/22/24 06:46:43 AM,15.390,99.841,14.964,,
289,05/22/24 07:00:00 AM,,,,15.318,15.318
290,05/22/24 07:01:43 AM,15.318,99.821,14.889,,
291,05/22/24 07:15:00 AM,,,,15.581,15.581
292,05/22/24 07:16:43 AM,15.581,99.767,15.146,,
293,05/22/24 07:30:00 AM,,,,15.796,15.796
294,05/22/24 07:31:43 AM,15.796,99.242,15.292,,
295,05/22/24 07:45:00 AM,,,,16.082,16.082
296,05/22/24 07:46:43 AM,16.082,98.709,15.507,,
297,05/22/24 08:00:00 AM,,,,16.582,16.582
298,05/22/24 08:01:43 AM,16.582,98.180,15.936,,
299,05/22/24 08:15:00 AM,,,,17.320,17.320
300,05/22/24 08:16:43 AM,17.320,97.116,16.528,,
301,05/22/24 08:30:00 AM,,,,17.986,17.986
302,05/22/24 08:31:43 AM,17.986,96.592,17.121,,
303,05/22/24 08:45:00 AM,,,,18.461,18.461
304,05/22/24 08:46:43 AM,18.461,96.040,17.518,,
305,05/22/24 09:00:00 AM,,,,19.080,19.080
306,05/22/24 09:01:43 AM,19.080,94.916,17.972,,
307,05/22/24 09:15:00 AM,,,,20.174,20.174
308,05/22/24 09:16:43 AM,20.174,94.033,18.933,,
309,05/22/24 09:30:00 AM,,,,21.127,21.127
310,05/22/24 09:31:43 AM,21.127,92.054,19.580,,
311,05/22/24 09:45:00 AM,,,,22.202,22.202
312,05/22/24 09:46:43 AM,22.202,88.429,20.067,,
313,05/22/24 10:00:00 AM,,,,22.585,22.585
314,05/22/24 10:01:43 AM,22.585,87.446,20.283,,
315,05/22/24 10:15:00 AM,,,,22.872,22.872
316,05/22/24 10:16:43 AM,22.872,86.295,20.373,,
317,05/22/24 10:30:00 AM,,,,22.776,22.776
318,05/22/24 10:31:43 AM,22.776,84.882,20.036,,
319,05/22/24 10:45:00 AM,,,,22.896,22.896
320,05/22/24 10:46:43 AM,22.896,84.210,20.037,,
321,05/22/24 11:00:00 AM,,,,23.256,23.256
322,05/22/24 11:01:43 AM,23.256,84.514,20.444,,
323,05/22/24 11:15:00 AM,,,,23.833,23.833
324,05/22/24 11:16:43 AM,23.833,82.305,20.618,,
325,05/22/24 11:30:00 AM,,,,24.726,24.726
326,05/22/24 11:31:43 AM,24.726,78.581,20.798,,
327,05/22/24 11:45:00 AM,,,,24.726,24.726
328,05/22/24 11:46:43 AM,24.726,77.830,20.653,,
329,05/22/24 12:00:00 PM,,,,25.647,25.647
330,05/22/24 12:01:43 PM,25.647,68.493,19.603,,
331,05/22/24 12:15:00 PM,,,,25.841,25.841
332,05/22/24 12:16:43 PM,25.841,69.636,20.042,,
333,05/22/24 12:30:00 PM,,,,25.793,25.793
334,05/22/24 12:31:43 PM,25.793,68.158,19.668,,
335,05/22/24 12:45:00 PM,,,,25.939,25.939
336,05/22/24 12:46:43 PM,25.939,70.788,20.387,,
337,05/22/24 01:00:00 PM,,,,26.207,26.207
338,05/22/24 01:01:43 PM,26.207,68.713,20.188,,
339,05/22/24 01:15:00 PM,,,,26.378,26.378
340,05/22/24 01:16:43 PM,26.378,69.854,20.605,,
341,05/22/24 01:30:00 PM,,,,27.087,27.087
342,05/22/24 01:31:43 PM,27.087,64.716,20.105,,
343,05/22/24 01:45:00 PM,,,,27.382,27.382
344,05/22/24 01:46:43 PM,27.382,63.663,20.131,,
345,05/22/24 02:00:00 PM,,,,27.136,27.136
346,05/22/24 02:01:43 PM,27.136,58.487,18.584,,
347,05/22/24 02:15:00 PM,,,,26.916,26.916
348,05/22/24 02:16:43 PM,26.916,63.279,19.595,,
349,05/22/24 02:30:00 PM,,,,27.431,27.431
350,05/22/24 02:31:43 PM,27.431,58.376,18.832,,
351,05/22/24 02:45:00 PM,,,,27.431,27.431
352,05/22/24 02:46:43 PM,27.431,61.762,19.707,,
353,05/22/24 03:00:00 PM,,,,26.744,26.744
354,05/22/24 03:01:43 PM,26.744,62.114,19.145,,
355,05/22/24 03:15:00 PM,,,,25.768,25.768
356,05/22/24 03:16:43 PM,25.768,68.454,19.711,,
357,05/22/24 03:30:00 PM,,,,25.695,25.695
358,05/22/24 03:31:43 PM,25.695,68.711,19.698,,
359,05/22/24 03:45:00 PM,,,,25.016,25.016
360,05/22/24 03:46:43 PM,25.016,71.508,19.653,,
361,05/22/24 04:00:00 PM,,,,24.557,24.557
362,05/22/24 04:01:43 PM,24.557,72.514,19.422,,
363,05/22/24 04:15:00 PM,,,,24.146,24.146
364,05/22/24 04:16:43 PM,24.146,72.936,19.113,,
365,05/22/24 04:30:00 PM,,,,23.905,23.905
366,05/22/24 04:31:43 PM,23.905,74.821,19.264,,
367,05/22/24 04:45:00 PM,,,,23.521,23.521
368,05/22/24 04:46:43 PM,23.521,76.486,19.220,,
369,05/22/24 05:00:00 PM,,,,23.040,23.040
370,05/22/24 05:01:43 PM,23.040,79.976,19.416,,
371,05/22/24 05:15:00 PM,,,,22.896,22.896
372,05/22/24 05:16:43 PM,22.896,81.196,19.499,,
373,05/22/24 05:30:00 PM,,,,22.705,22.705
374,05/22/24 05:31:43 PM,22.705,85.395,20.054,,
375,05/22/24 05:45:00 PM,,,,22.537,22.537
376,05/22/24 05:46:43 PM,22.537,84.381,19.713,,
377,05/22/24 06:00:00 PM,,,,22.321,22.321
378,05/22/24 06:01:43 PM,22.321,86.473,19.860,,
379,05/22/24 06:15:00 PM,,,,22.226,22.226
380,05/22/24 06:16:43 PM,22.226,86.313,19.738,,
381,05/22/24 06:30:00 PM,,,,22.082,22.082
382,05/22/24 06:31:43 PM,22.082,88.319,19.931,,
383,05/22/24 06:45:00 PM,,,,21.915,21.915
384,05/22/24 06:46:43 PM,21.915,85.687,19.325,,
385,05/22/24 07:00:00 PM,,,,21.819,21.819
386,05/22/24 07:01:43 PM,21.819,86.771,19.414,,
387,05/22/24 07:15:00 PM,,,,21.413,21.413
388,05/22/24 07:16:43 PM,21.413,90.070,19.552,,
389,05/22/24 07:30:00 PM,,,,20.913,20.913
390,05/22/24 07:31:43 PM,20.913,91.597,19.296,,
391,05/22/24 07:45:00 PM,,,,20.555,20.555
392,05/22/24 07:46:43 PM,20.555,93.358,19.211,,
393,05/22/24 08:00:00 PM,,,,20.031,20.031
394,05/22/24 08:01:43 PM,20.031,96.373,19.137,,
395,05/22/24 08:15:00 PM,,,,19.817,19.817
396,05/22/24 08:16:43 PM,19.817,97.546,19.092,,
397,05/22/24 08:30:00 PM,,,,19.722,19.722
398,05/22/24 08:31:43 PM,19.722,98.198,19.089,,
399,05/22/24 08:45:00 PM,,,,19.270,19.270
400,05/22/24 08:46:43 PM,19.270,97.921,18.596,,
401,05/22/24 09:00:00 PM,,,,19.032,19.032
402,05/22/24 09:01:43 PM,19.032,98.221,18.400,,
403,05/22/24 09:15:00 PM,,,,18.628,18.628
404,05/22/24 09:16:43 PM,18.628,97.230,17.855,,
405,05/22/24 09:30:00 PM,,,,18.366,18.366
406,05/22/24 09:31:43 PM,18.366,98.585,17.783,,
407,05/22/24 09:45:00 PM,,,,18.152,18.152
408,05/22/24 09:46:43 PM,18.152,98.733,17.589,,
409,05/22/24 10:00:00 PM,,,,18.057,18.057
410,05/22/24 10:01:43 PM,18.057,98.785,17.501,,
411,05/22/24 10:15:00 PM,,,,18.081,18.081
412,05/22/24 10:16:43 PM,18.081,99.202,17.582,,
413,05/22/24 10:30:00 PM,,,,18.033,18.033
414,05/22/24 10:31:43 PM,18.033,99.344,17.554,,
415,05/22/24 10:45:00 PM,,,,17.938,17.938
416,05/22/24 10:46:43 PM,17.938,99.471,17.476,,
417,05/22/24 11:00:00 PM,,,,17.915,17.915
418,05/22/24 11:01:43 PM,17.915,99.619,17.472,,
419,05/22/24 11:15:00 PM,,,,17.772,17.772
420,05/22/24 11:16:43 PM,17.772,99.887,17.365,,
421,05/22/24 11:30:00 PM,,,,17.510,17.510
422,05/22/24 11:31:43 PM,17.510,100.000,17.124,,
423,05/22/24 11:45:00 PM,,,,17.391,17.391
424,05/22/24 11:46:43 PM,17.391,100.000,17.024,,
425,05/23/24 12:00:00 AM,,,,17.296,17.296
426,05/23/24 12:01:43 AM,17.296,100.000,16.945,,
427,05/23/24 12:15:00 AM,,,,17.225,17.225
428,05/23/24 12:16:43 AM,17.225,100.000,16.884,,
429,05/23/24 12:30:00 AM,,,,17.201,17.201
430,05/23/24 12:31:43 AM,17.201,100.000,16.873,,
431,05/23/24 12:45:00 AM,,,,17.082,17.082
432,05/23/24 12:46:43 AM,17.082,100.000,16.770,,
433,05/23/24 01:00:00 AM,,,,17.034,17.034
434,05/23/24 01:01:43 AM,17.034,100.000,16.727,,
435,05/23/24 01:15:00 AM,,,,16.844,16.844
436,05/23/24 01:16:43 AM,16.844,100.000,16.542,,
437,05/23/24 01:30:00 AM,,,,16.796,16.796
438,05/23/24 01:31:43 AM,16.796,100.000,16.499,,
439,05/23/24 01:45:00 AM,,,,16.606,16.606
440,05/23/24 01:46:43 AM,16.606,100.000,16.307,,
441,05/23/24 02:00:00 AM,,,,16.487,16.487
442,05/23/24 02:01:43 AM,16.487,100.000,16.189,,
443,05/23/24 02:15:00 AM,,,,16.320,16.320
444,05/23/24 02:16:43 AM,16.320,100.000,16.022,,
445,05/23/24 02:30:00 AM,,,,16.225,16.225
446,05/23/24 02:31:43 AM,16.225,100.000,15.936,,
447,05/23/24 02:45:00 AM,,,,16.034,16.034
448,05/23/24 02:46:43 AM,16.034,100.000,15.743,,
449,05/23/24 03:00:00 AM,,,,15.939,15.939
450,05/23/24 03:01:43 AM,15.939,100.000,15.657,,
451,05/23/24 03:15:00 AM,,,,15.843,15.843
452,05/23/24 03:16:43 AM,15.843,100.000,15.558,,
453,05/23/24 03:30:00 AM,,,,15.629,15.629
454,05/23/24 03:31:43 AM,15.629,100.000,15.347,,
455,05/23/24 03:45:00 AM,,,,15.605,15.605
456,05/23/24 03:46:43 AM,15.605,100.000,15.329,,
457,05/23/24 04:00:00 AM,,,,15.509,15.509
458,05/23/24 04:01:43 AM,15.509,100.000,15.242,,
459,05/23/24 04:15:00 AM,,,,15.533,15.533
460,05/23/24 04:16:43 AM,15.533,100.000,15.280,,
461,05/23/24 04:30:00 AM,,,,15.414,15.414
