...1,Timestamp,Air TempC.x,VPD.x,Vapor Pressure.x,Atmos Pressure.x,Solar,Wetness Level 1,Wetness Level 2,Air TempC.y,Atmos Pressure.y,VPD.y,Vapor Pressure.y,Atmos.Pressure,Air.TempC,VPD,Vapor.Pressure,Wetness.Level.1,Wetness.Level.2
30,2024-04-10T12:00:00Z,NA,NA,NA,NA,277.8,531,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2024-04-10T12:15:00Z,NA,NA,NA,NA,581.4,508,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2024-04-10T12:30:00Z,NA,NA,NA,NA,558.8,486,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2024-04-10T12:45:00Z,NA,NA,NA,NA,527.7,456,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2024-04-10T13:00:00Z,NA,NA,NA,NA,366.9,449,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2024-04-10T13:15:00Z,NA,NA,NA,NA,288.9,449,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,2024-04-10T13:30:00Z,NA,NA,NA,NA,364.6,448,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2024-04-10T13:45:00Z,NA,NA,NA,NA,345.7,448,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,2024-04-10T14:00:00Z,NA,NA,NA,NA,649.5,445,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,2024-04-10T14:15:00Z,NA,NA,NA,NA,568.9,446,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,2024-04-10T14:30:00Z,NA,NA,NA,NA,430.1,446,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2024-04-10T14:45:00Z,NA,NA,NA,NA,486.1,446,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,2024-04-10T15:00:00Z,NA,NA,NA,NA,584.1,445,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,2024-04-10T15:15:00Z,NA,NA,NA,NA,333.1,446,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2024-04-10T15:30:00Z,NA,NA,NA,NA,200.5,446,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2024-04-10T15:45:00Z,NA,NA,NA,NA,113.9,446,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,2024-04-10T16:00:00Z,NA,NA,NA,NA,158.8,446,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,2024-04-10T16:15:00Z,NA,NA,NA,NA,62.6,454,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,2024-04-10T16:30:00Z,NA,NA,NA,NA,65.4,606,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,2024-04-10T16:45:00Z,NA,NA,NA,NA,89,480,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2024-04-10T17:00:00Z,NA,NA,NA,NA,76.2,775,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,2024-04-10T17:15:00Z,NA,NA,NA,NA,102,677,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2024-04-10T17:30:00Z,NA,NA,NA,NA,169.9,647,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2024-04-10T17:45:00Z,NA,NA,NA,NA,201.8,633,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2024-04-10T18:00:00Z,NA,NA,NA,NA,145,611,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,2024-04-10T18:15:00Z,NA,NA,NA,NA,121.2,584,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2024-04-10T18:30:00Z,NA,NA,NA,NA,100,564,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2024-04-10T18:45:00Z,NA,NA,NA,NA,75.1,546,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2024-04-10T19:00:00Z,NA,NA,NA,NA,52.4,535,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2024-04-10T19:15:00Z,NA,NA,NA,NA,38.1,524,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,2024-04-10T19:30:00Z,NA,NA,NA,NA,22.9,512,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,2024-04-10T19:45:00Z,NA,NA,NA,NA,11.5,503,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2024-04-10T20:00:00Z,NA,NA,NA,NA,1.8,496,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,2024-04-10T20:15:00Z,NA,NA,NA,NA,0,489,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,2024-04-10T20:30:00Z,NA,NA,NA,NA,0,481,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,2024-04-10T20:45:00Z,NA,NA,NA,NA,0,474,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,2024-04-10T21:00:00Z,NA,NA,NA,NA,0,468,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2024-04-10T21:15:00Z,NA,NA,NA,NA,0,462,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,2024-04-10T21:30:00Z,NA,NA,NA,NA,0,455,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,2024-04-10T21:45:00Z,NA,NA,NA,NA,0,452,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,2024-04-10T22:00:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2024-04-10T22:15:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2024-04-10T22:30:00Z,NA,NA,NA,NA,0,453,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2024-04-10T22:45:00Z,NA,NA,NA,NA,0,452,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2024-04-10T23:00:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,2024-04-10T23:15:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,2024-04-10T23:30:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,2024-04-10T23:45:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2024-04-11T00:00:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,2024-04-11T00:15:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,2024-04-11T00:30:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,2024-04-11T00:45:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,2024-04-11T01:00:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,2024-04-11T01:15:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,2024-04-11T01:30:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,2024-04-11T01:45:00Z,NA,NA,NA,NA,0,452,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,2024-04-11T02:00:00Z,NA,NA,NA,NA,0,453,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,2024-04-11T02:15:00Z,NA,NA,NA,NA,0,453,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,2024-04-11T02:30:00Z,NA,NA,NA,NA,0,453,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,2024-04-11T02:45:00Z,NA,NA,NA,NA,0,453,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,2024-04-11T03:00:00Z,NA,NA,NA,NA,0,453,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,2024-04-11T03:15:00Z,NA,NA,NA,NA,0,453,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2024-04-11T03:30:00Z,NA,NA,NA,NA,0,453,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,2024-04-11T03:45:00Z,NA,NA,NA,NA,0,453,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,2024-04-11T04:00:00Z,NA,NA,NA,NA,0,453,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,2024-04-11T04:15:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,2024-04-11T04:30:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,2024-04-11T04:45:00Z,NA,NA,NA,NA,0,452,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,2024-04-11T05:00:00Z,NA,NA,NA,NA,0,451,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,2024-04-11T05:15:00Z,NA,NA,NA,NA,0,451,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2024-04-11T05:30:00Z,NA,NA,NA,NA,0,450,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,2024-04-11T05:45:00Z,NA,NA,NA,NA,0,450,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,2024-04-11T06:00:00Z,NA,NA,NA,NA,0,450,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,2024-04-11T06:15:00Z,NA,NA,NA,NA,0,450,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,2024-04-11T06:30:00Z,NA,NA,NA,NA,0,450,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,2024-04-11T06:45:00Z,NA,NA,NA,NA,0,450,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,2024-04-11T07:00:00Z,NA,NA,NA,NA,0,450,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,2024-04-11T07:15:00Z,NA,NA,NA,NA,0,450,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,2024-04-11T07:30:00Z,NA,NA,NA,NA,8.6,450,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,2024-04-11T07:45:00Z,NA,NA,NA,NA,24.4,450,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,2024-04-11T08:00:00Z,NA,NA,NA,NA,63.4,449,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,2024-04-11T08:15:00Z,NA,NA,NA,NA,42.7,449,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,2024-04-11T08:30:00Z,NA,NA,NA,NA,22.2,459,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,2024-04-11T08:45:00Z,NA,NA,NA,NA,33.3,452,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,2024-04-11T09:00:00Z,NA,NA,NA,NA,34.4,454,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,2024-04-11T09:15:00Z,NA,NA,NA,NA,56.4,450,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,2024-04-11T09:30:00Z,NA,NA,NA,NA,91.6,471,451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,2024-04-11T09:45:00Z,NA,NA,NA,NA,123.6,517,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,2024-04-11T10:00:00Z,NA,NA,NA,NA,130.9,534,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,2024-04-11T10:15:00Z,NA,NA,NA,NA,93.4,555,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2024-04-11T10:30:00Z,NA,NA,NA,NA,80.7,524,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,2024-04-11T10:45:00Z,NA,NA,NA,NA,231.8,504,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,2024-04-11T11:00:00Z,NA,NA,NA,NA,143,827,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,2024-04-11T11:15:00Z,NA,NA,NA,NA,85.7,681,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,2024-04-11T11:30:00Z,NA,NA,NA,NA,278.7,620,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,2024-04-11T11:45:00Z,NA,NA,NA,NA,181.3,699,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,2024-04-11T12:00:00Z,NA,NA,NA,NA,136.8,806,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2024-04-11T12:15:00Z,NA,NA,NA,NA,163.1,744,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,2024-04-11T12:30:00Z,NA,NA,NA,NA,150,780,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,2024-04-11T12:45:00Z,NA,NA,NA,NA,211.1,695,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,2024-04-11T13:00:00Z,NA,NA,NA,NA,139.3,655,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,2024-04-11T13:15:00Z,NA,NA,NA,NA,291,624,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,2024-04-11T13:30:00Z,NA,NA,NA,NA,577.5,584,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,2024-04-11T13:45:00Z,NA,NA,NA,NA,470.8,558,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,2024-04-11T14:00:00Z,NA,NA,NA,NA,226.9,538,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,2024-04-11T14:15:00Z,NA,NA,NA,NA,172.3,812,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,2024-04-11T14:30:00Z,NA,NA,NA,NA,283.1,646,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,2024-04-11T14:45:00Z,NA,NA,NA,NA,302.1,619,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,2024-04-11T15:00:00Z,NA,NA,NA,NA,100.5,886,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,2024-04-11T15:15:00Z,NA,NA,NA,NA,52.4,815,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,2024-04-11T15:30:00Z,NA,NA,NA,NA,91.4,746,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,2024-04-11T15:45:00Z,NA,NA,NA,NA,39.2,698,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,2024-04-11T16:00:00Z,NA,NA,NA,NA,16.1,866,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,2024-04-11T16:15:00Z,NA,NA,NA,NA,9.9,883,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,2024-04-11T16:30:00Z,NA,NA,NA,NA,21.2,868,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,2024-04-11T16:45:00Z,NA,NA,NA,NA,79.7,852,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,2024-04-11T17:00:00Z,NA,NA,NA,NA,95.9,804,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,2024-04-11T17:15:00Z,NA,NA,NA,NA,75.3,770,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,2024-04-11T17:30:00Z,NA,NA,NA,NA,90.3,686,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,2024-04-11T17:45:00Z,NA,NA,NA,NA,38.3,775,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,2024-04-11T18:00:00Z,NA,NA,NA,NA,15,817,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,2024-04-11T18:15:00Z,NA,NA,NA,NA,23.4,777,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,2024-04-11T18:30:00Z,NA,NA,NA,NA,21.1,723,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,2024-04-11T18:45:00Z,NA,NA,NA,NA,19.2,692,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,2024-04-11T19:00:00Z,NA,NA,NA,NA,10.6,694,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,2024-04-11T19:15:00Z,NA,NA,NA,NA,2.7,787,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,2024-04-11T19:30:00Z,NA,NA,NA,NA,7.7,846,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,2024-04-11T19:45:00Z,NA,NA,NA,NA,3.3,746,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,2024-04-11T20:00:00Z,NA,NA,NA,NA,0,729,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,2024-04-11T20:15:00Z,NA,NA,NA,NA,0,979,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,2024-04-11T20:30:00Z,NA,NA,NA,NA,0,863,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,2024-04-11T20:45:00Z,NA,NA,NA,NA,0,819,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,2024-04-11T21:00:00Z,NA,NA,NA,NA,0,841,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,2024-04-11T21:15:00Z,NA,NA,NA,NA,0,567,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,2024-04-11T21:30:00Z,NA,NA,NA,NA,0,689,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,2024-04-11T21:45:00Z,NA,NA,NA,NA,0,788,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,2024-04-11T22:00:00Z,NA,NA,NA,NA,0,775,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,2024-04-11T22:15:00Z,NA,NA,NA,NA,0,770,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,2024-04-11T22:30:00Z,NA,NA,NA,NA,0,843,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,2024-04-11T22:45:00Z,NA,NA,NA,NA,0,853,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,2024-04-11T23:00:00Z,NA,NA,NA,NA,0,889,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,2024-04-11T23:15:00Z,NA,NA,NA,NA,0,881,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,2024-04-11T23:30:00Z,NA,NA,NA,NA,0,579,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,2024-04-11T23:45:00Z,NA,NA,NA,NA,0,680,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,2024-04-12T00:00:00Z,NA,NA,NA,NA,0,615,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,2024-04-12T00:15:00Z,NA,NA,NA,NA,0,556,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,2024-04-12T00:30:00Z,NA,NA,NA,NA,0,501,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,2024-04-12T00:45:00Z,NA,NA,NA,NA,0,470,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,2024-04-12T01:00:00Z,NA,NA,NA,NA,0,458,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,2024-04-12T01:15:00Z,NA,NA,NA,NA,0,453,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,2024-04-12T01:30:00Z,NA,NA,NA,NA,0,453,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,2024-04-12T01:45:00Z,NA,NA,NA,NA,0,452,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,2024-04-12T02:00:00Z,NA,NA,NA,NA,0,452,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,2024-04-12T02:15:00Z,NA,NA,NA,NA,0,452,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,2024-04-12T02:30:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,2024-04-12T02:45:00Z,NA,NA,NA,NA,0,471,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,2024-04-12T03:00:00Z,NA,NA,NA,NA,0,457,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,2024-04-12T03:15:00Z,NA,NA,NA,NA,0,452,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,2024-04-12T03:30:00Z,NA,NA,NA,NA,0,452,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,2024-04-12T03:45:00Z,NA,NA,NA,NA,0,500,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,2024-04-12T04:00:00Z,NA,NA,NA,NA,0,456,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,2024-04-12T04:15:00Z,NA,NA,NA,NA,0,488,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,2024-04-12T04:30:00Z,NA,NA,NA,NA,0,460,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,2024-04-12T04:45:00Z,NA,NA,NA,NA,0,452,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,2024-04-12T05:00:00Z,NA,NA,NA,NA,0,452,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,2024-04-12T05:15:00Z,NA,NA,NA,NA,0,452,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,2024-04-12T05:30:00Z,NA,NA,NA,NA,0,452,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,2024-04-12T05:45:00Z,NA,NA,NA,NA,0,452,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,2024-04-12T06:00:00Z,NA,NA,NA,NA,0,451,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,2024-04-12T06:15:00Z,NA,NA,NA,NA,0,452,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,2024-04-12T06:30:00Z,NA,NA,NA,NA,0,452,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,2024-04-12T06:45:00Z,NA,NA,NA,NA,0,452,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,2024-04-12T07:00:00Z,NA,NA,NA,NA,0,451,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,2024-04-12T07:15:00Z,NA,NA,NA,NA,0,451,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,2024-04-12T07:30:00Z,NA,NA,NA,NA,9.3,451,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,2024-04-12T07:45:00Z,NA,NA,NA,NA,35.9,451,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,2024-04-12T08:00:00Z,NA,NA,NA,NA,36.4,451,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,2024-04-12T08:15:00Z,NA,NA,NA,NA,20.3,451,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
