...1,Timestamp,VPD,Air TempC,Atmos Pressure,Vapor Pressure,Solar,Wetness Level 1,Wetness Level 2,Atmos.Pressure,Air.TempC,Vapor.Pressure,Wetness.Level.1,Wetness.Level.2
NA,2024-05-10T15:00:00Z,0.29,NA,NA,NA,68.1,NA,NA,97.96,14.5,1.361,438,446
NA,2024-05-10T15:15:00Z,0.3,NA,NA,NA,165.5,NA,NA,97.98,14.6,1.357,437,445
NA,2024-05-10T15:30:00Z,0.36,NA,NA,NA,165.5,NA,NA,97.97,15.1,1.354,437,445
NA,2024-05-10T15:45:00Z,0.34,NA,NA,NA,120.8,NA,NA,97.97,15.2,1.377,437,446
NA,2024-05-10T16:00:00Z,0.35,NA,NA,NA,107.5,NA,NA,97.96,15.2,1.371,437,446
NA,2024-05-10T16:15:00Z,0.35,NA,NA,NA,96.3,NA,NA,97.96,15,1.35,437,446
NA,2024-05-10T16:30:00Z,0.44,NA,NA,NA,204.2,NA,NA,97.93,16,1.379,436,444
NA,2024-05-10T16:45:00Z,0.51,NA,NA,NA,68.5,NA,NA,97.94,16.5,1.361,437,445
NA,2024-05-10T17:00:00Z,0.45,NA,NA,NA,177.4,NA,NA,97.94,16.3,1.395,436,444
NA,2024-05-10T17:15:00Z,0.59,NA,NA,NA,190.6,NA,NA,97.93,17.5,1.405,435,444
NA,2024-05-10T17:30:00Z,0.61,NA,NA,NA,142.6,NA,NA,97.93,17.5,1.384,435,444
NA,2024-05-10T17:45:00Z,0.53,NA,NA,NA,113.5,NA,NA,97.93,17.1,1.426,436,445
NA,2024-05-10T18:00:00Z,0.52,NA,NA,NA,102.5,NA,NA,97.93,16.7,1.381,436,444
NA,2024-05-10T18:15:00Z,0.64,NA,NA,NA,148.3,NA,NA,97.93,17.4,1.347,435,444
NA,2024-05-10T18:30:00Z,0.68,NA,NA,NA,203.2,NA,NA,97.94,17.9,1.368,435,444
NA,2024-05-10T18:45:00Z,0.74,NA,NA,NA,265.5,NA,NA,97.94,18.4,1.382,435,444
NA,2024-05-10T19:00:00Z,0.57,NA,NA,NA,19,NA,NA,97.96,17.2,1.381,437,445
NA,2024-05-10T19:15:00Z,0.42,NA,NA,NA,16.7,NA,NA,97.96,15.8,1.368,438,446
NA,2024-05-10T19:30:00Z,0.32,NA,NA,NA,19,NA,NA,97.98,15.2,1.4,438,446
NA,2024-05-10T19:45:00Z,0.26,NA,NA,NA,19.6,NA,NA,97.98,14.9,1.43,438,447
NA,2024-05-10T20:00:00Z,0.22,NA,NA,NA,7.7,NA,NA,97.99,14.4,1.415,439,447
NA,2024-05-10T20:15:00Z,0.14,NA,NA,NA,7.7,NA,NA,98,13.5,1.403,440,448
NA,2024-05-10T20:30:00Z,0.1,NA,NA,NA,2.4,NA,NA,98.01,12.9,1.388,440,448
NA,2024-05-10T20:45:00Z,0.07,NA,NA,NA,0,NA,NA,98.02,12.4,1.374,441,449
NA,2024-05-10T21:00:00Z,0.05,NA,NA,NA,0,NA,NA,98.03,12,1.349,442,449
NA,2024-05-10T21:15:00Z,0.03,NA,NA,NA,0,NA,NA,98.04,11.6,1.332,443,449
NA,2024-05-10T21:30:00Z,0.02,NA,NA,NA,0,NA,NA,98.03,11.2,1.312,444,449
NA,2024-05-10T21:45:00Z,0.01,NA,NA,NA,0,NA,NA,98.03,10.9,1.289,447,448
NA,2024-05-10T22:00:00Z,0,NA,NA,NA,0,NA,NA,98.03,10.6,1.272,450,449
NA,2024-05-10T22:15:00Z,0,NA,NA,NA,0,NA,NA,98.03,10.3,1.253,453,450
NA,2024-05-10T22:30:00Z,0,NA,NA,NA,0,NA,NA,98.04,10.1,1.234,457,452
NA,2024-05-10T22:45:00Z,0,NA,NA,NA,0,NA,NA,98.05,9.8,1.213,460,453
NA,2024-05-10T23:00:00Z,0,NA,NA,NA,0,NA,NA,98.05,9.6,1.194,464,454
NA,2024-05-10T23:15:00Z,0,NA,NA,NA,0,NA,NA,98.06,9.4,1.176,467,456
NA,2024-05-10T23:30:00Z,0,NA,NA,NA,0,NA,NA,98.06,9.2,1.165,470,456
NA,2024-05-10T23:45:00Z,0,NA,NA,NA,0,NA,NA,98.05,9.2,1.165,473,456
NA,2024-05-11T00:00:00Z,0,NA,NA,NA,0,NA,NA,98.06,9.4,1.176,475,457
NA,2024-05-11T00:15:00Z,0,NA,NA,NA,0,NA,NA,98.07,9.4,1.182,478,457
NA,2024-05-11T00:30:00Z,0,NA,NA,NA,0,NA,NA,98.07,9.2,1.166,482,459
NA,2024-05-11T00:45:00Z,0,NA,NA,NA,0,NA,NA,98.08,9.1,1.158,485,460
NA,2024-05-11T01:00:00Z,0,NA,NA,NA,0,NA,NA,98.09,9,1.146,489,460
NA,2024-05-11T01:15:00Z,0,NA,NA,NA,0,NA,NA,98.09,8.9,1.141,493,460
NA,2024-05-11T01:30:00Z,0,NA,NA,NA,0,NA,NA,98.09,8.9,1.136,497,460
NA,2024-05-11T01:45:00Z,0,NA,NA,NA,0,NA,NA,98.09,8.8,1.132,504,460
NA,2024-05-11T02:00:00Z,0,NA,NA,NA,0,NA,NA,98.07,8.5,1.111,509,460
NA,2024-05-11T02:15:00Z,0,NA,NA,NA,0,NA,NA,98.06,8.4,1.101,514,460
NA,2024-05-11T02:30:00Z,0,NA,NA,NA,0,NA,NA,98.05,8.2,1.088,525,460
NA,2024-05-11T02:45:00Z,0,NA,NA,NA,0,NA,NA,98.04,8.1,1.079,530,461
NA,2024-05-11T03:00:00Z,0,NA,NA,NA,0,NA,NA,98.04,8,1.077,536,461
NA,2024-05-11T03:15:00Z,0,NA,NA,NA,0,NA,NA,98.04,8,1.07,545,461
NA,2024-05-11T03:30:00Z,0,NA,NA,NA,0,NA,NA,98.05,7.9,1.063,554,461
NA,2024-05-11T03:45:00Z,0,NA,NA,NA,0,NA,NA,98.05,7.7,1.053,566,462
NA,2024-05-11T04:00:00Z,0,NA,NA,NA,0,NA,NA,98.05,7.7,1.053,574,462
NA,2024-05-11T04:15:00Z,0,NA,NA,NA,0,NA,NA,98.05,7.5,1.04,580,462
NA,2024-05-11T04:30:00Z,0,NA,NA,NA,0,NA,NA,98.05,7.4,1.028,586,462
NA,2024-05-11T04:45:00Z,0,NA,NA,NA,0,NA,NA,98.05,7.3,1.023,593,463
NA,2024-05-11T05:00:00Z,0,NA,NA,NA,0,NA,NA,98.04,7.3,1.021,600,463
NA,2024-05-11T05:15:00Z,0,NA,NA,NA,0,NA,NA,98.04,7.1,1.01,610,463
NA,2024-05-11T05:30:00Z,0,NA,NA,NA,0,NA,NA,98.04,7,1,616,463
NA,2024-05-11T05:45:00Z,0,NA,NA,NA,0,NA,NA,98.03,6.9,0.993,622,464
NA,2024-05-11T06:00:00Z,0,NA,NA,NA,0,NA,NA,98.03,6.7,0.984,630,464
NA,2024-05-11T06:15:00Z,0,NA,NA,NA,0,NA,NA,98.02,6.7,0.978,633,465
NA,2024-05-11T06:30:00Z,0,NA,NA,NA,0,NA,NA,98.03,6.6,0.976,637,465
NA,2024-05-11T06:45:00Z,0,NA,NA,NA,1.8,NA,NA,98.04,6.6,0.972,640,465
NA,2024-05-11T07:00:00Z,0,NA,NA,NA,6.4,NA,NA,98.04,6.6,0.977,640,464
NA,2024-05-11T07:15:00Z,0,NA,NA,NA,14.1,NA,NA,98.03,6.8,0.987,640,463
NA,2024-05-11T07:30:00Z,0,NA,NA,NA,26.4,NA,NA,98.03,6.9,0.997,638,460
NA,2024-05-11T07:45:00Z,0,NA,NA,NA,39.4,NA,NA,98.04,7.2,1.014,635,455
NA,2024-05-11T08:00:00Z,0,NA,NA,NA,43.6,NA,NA,98.03,7.5,1.038,629,453
NA,2024-05-11T08:15:00Z,0,NA,NA,NA,60.1,NA,NA,98.03,7.9,1.063,621,453
NA,2024-05-11T08:30:00Z,0,NA,NA,NA,61.7,NA,NA,98.03,8.4,1.101,611,453
NA,2024-05-11T08:45:00Z,0,NA,NA,NA,39.7,NA,NA,98.02,8.7,1.122,606,452
NA,2024-05-11T09:00:00Z,0,NA,NA,NA,46,NA,NA,98.02,9.1,1.151,598,452
NA,2024-05-11T09:15:00Z,0,NA,NA,NA,90.5,NA,NA,98.01,10,1.226,579,451
NA,2024-05-11T09:30:00Z,0,NA,NA,NA,131.8,NA,NA,98,11.4,1.344,509,448
NA,2024-05-11T09:45:00Z,0,NA,NA,NA,242.8,NA,NA,97.99,12.5,1.446,448,448
NA,2024-05-11T10:00:00Z,0,NA,NA,NA,224.7,NA,NA,97.98,13.8,1.575,439,447
NA,2024-05-11T10:15:00Z,0.18,NA,NA,NA,251.8,NA,NA,97.95,15,1.528,437,446
NA,2024-05-11T10:30:00Z,0.35,NA,NA,NA,355.4,NA,NA,97.93,16.1,1.479,436,445
NA,2024-05-11T10:45:00Z,0.46,NA,NA,NA,276.3,NA,NA,97.93,17,1.473,436,445
NA,2024-05-11T11:00:00Z,0.53,NA,NA,NA,364.4,NA,NA,97.93,17.4,1.458,436,445
NA,2024-05-11T11:15:00Z,0.61,NA,NA,NA,409.4,NA,NA,97.93,18.1,1.463,434,444
NA,2024-05-11T11:30:00Z,0.74,NA,NA,NA,366.8,NA,NA,97.92,18.5,1.392,434,443
NA,2024-05-11T11:45:00Z,0.83,NA,NA,NA,203.4,NA,NA,97.91,18.8,1.341,435,444
NA,2024-05-11T12:00:00Z,0.77,NA,NA,NA,130.2,NA,NA,97.93,18.2,1.322,435,444
NA,2024-05-11T12:15:00Z,0.79,NA,NA,NA,271.5,NA,NA,97.9,18.3,1.312,435,444
NA,2024-05-11T12:30:00Z,0.85,NA,NA,NA,254.7,NA,NA,97.89,18.9,1.337,435,444
NA,2024-05-11T12:45:00Z,0.8,NA,NA,NA,221.4,NA,NA,97.87,18.8,1.361,435,444
NA,2024-05-11T13:00:00Z,0.82,NA,NA,NA,246.8,NA,NA,97.85,18.9,1.36,435,444
NA,2024-05-11T13:15:00Z,0.89,NA,NA,NA,210.8,NA,NA,97.83,19.4,1.352,435,444
NA,2024-05-11T13:30:00Z,0.86,NA,NA,NA,106.4,NA,NA,97.84,18.8,1.315,435,444
NA,2024-05-11T13:45:00Z,0.82,NA,NA,NA,92.1,NA,NA,97.84,18.8,1.347,435,444
NA,2024-05-11T14:00:00Z,0.77,NA,NA,NA,140.6,NA,NA,97.84,18.8,1.396,435,444
NA,2024-05-11T14:15:00Z,0.81,NA,NA,NA,111.9,NA,NA,97.82,19,1.385,435,444
NA,2024-05-11T14:30:00Z,0.8,NA,NA,NA,136.8,NA,NA,97.8,19.1,1.411,435,444
NA,2024-05-11T14:45:00Z,0.83,NA,NA,NA,135.7,NA,NA,97.8,19.3,1.398,435,444
NA,2024-05-11T15:00:00Z,0.67,NA,NA,NA,57.7,NA,NA,97.8,18.8,1.49,443,445
NA,2024-05-11T15:15:00Z,0.47,NA,NA,NA,50.2,NA,NA,97.81,18,1.595,506,446
NA,2024-05-11T15:30:00Z,0.34,NA,NA,NA,203.1,NA,NA,97.83,17.3,1.628,525,445
NA,2024-05-11T15:45:00Z,0.49,NA,NA,NA,278.1,NA,NA,97.8,18.6,1.647,446,443
NA,2024-05-11T16:00:00Z,0.67,NA,NA,NA,297.5,NA,NA,97.77,19.6,1.616,435,444
NA,2024-05-11T16:15:00Z,0.76,NA,NA,NA,266.8,NA,NA,97.75,19.9,1.562,435,443
NA,2024-05-11T16:30:00Z,0.81,NA,NA,NA,226.9,NA,NA,97.73,20.2,1.555,435,444
NA,2024-05-11T16:45:00Z,0.83,NA,NA,NA,206.2,NA,NA,97.72,20.7,1.605,434,443
NA,2024-05-11T17:00:00Z,0.91,NA,NA,NA,217.2,NA,NA,97.72,20.9,1.566,434,443
NA,2024-05-11T17:15:00Z,0.84,NA,NA,NA,58.2,NA,NA,97.72,20.2,1.526,435,444
NA,2024-05-11T17:30:00Z,0.72,NA,NA,NA,102.7,NA,NA,97.72,20.1,1.633,435,444
NA,2024-05-11T17:45:00Z,0.75,NA,NA,NA,139.9,NA,NA,97.73,20.3,1.635,435,443
NA,2024-05-11T18:00:00Z,0.98,NA,NA,NA,137.9,NA,NA,97.74,21,1.5,434,443
NA,2024-05-11T18:15:00Z,1.31,NA,NA,NA,168.1,NA,NA,97.74,21.4,1.229,433,442
NA,2024-05-11T18:30:00Z,1.35,NA,NA,NA,220.6,NA,NA,97.75,21.6,1.227,433,441
NA,2024-05-11T18:45:00Z,1.48,NA,NA,NA,345.7,NA,NA,97.76,21.8,1.129,433,441
NA,2024-05-11T19:00:00Z,1.43,NA,NA,NA,274.1,NA,NA,97.77,21.6,1.139,433,441
NA,2024-05-11T19:15:00Z,1.31,NA,NA,NA,184.2,NA,NA,97.79,21.2,1.205,433,441
NA,2024-05-11T19:30:00Z,1.2,NA,NA,NA,148.7,NA,NA,97.81,20.7,1.234,434,442
NA,2024-05-11T19:45:00Z,1.12,NA,NA,NA,32.4,NA,NA,97.82,20,1.221,435,443
NA,2024-05-11T20:00:00Z,0.83,NA,NA,NA,11.2,NA,NA,97.85,18,1.239,436,444
NA,2024-05-11T20:15:00Z,0.61,NA,NA,NA,7.7,NA,NA,97.87,16.7,1.294,436,445
NA,2024-05-11T20:30:00Z,0.44,NA,NA,NA,2,NA,NA,97.89,15.6,1.335,437,445
NA,2024-05-11T20:45:00Z,0.35,NA,NA,NA,0,NA,NA,97.91,14.8,1.323,438,446
NA,2024-05-11T21:00:00Z,0.28,NA,NA,NA,0,NA,NA,97.92,13.9,1.307,438,446
NA,2024-05-11T21:15:00Z,0.23,NA,NA,NA,0,NA,NA,97.94,13.1,1.277,438,446
NA,2024-05-11T21:30:00Z,0.17,NA,NA,NA,0,NA,NA,97.96,12.4,1.266,438,447
NA,2024-05-11T21:45:00Z,0.14,NA,NA,NA,0,NA,NA,97.98,11.9,1.255,439,447
NA,2024-05-11T22:00:00Z,0.1,NA,NA,NA,0,NA,NA,97.99,11.4,1.243,439,448
NA,2024-05-11T22:15:00Z,0.08,NA,NA,NA,0,NA,NA,98.01,11,1.23,439,448
NA,2024-05-11T22:30:00Z,0.07,NA,NA,NA,0,NA,NA,98.04,10.8,1.225,439,448
NA,2024-05-11T22:45:00Z,0.05,NA,NA,NA,0,NA,NA,98.05,10.6,1.222,439,448
NA,2024-05-11T23:00:00Z,0.04,NA,NA,NA,0,NA,NA,98.05,10.3,1.206,440,449
NA,2024-05-11T23:15:00Z,0.03,NA,NA,NA,0,NA,NA,98.07,10,1.198,441,449
NA,2024-05-11T23:30:00Z,0.03,NA,NA,NA,0,NA,NA,98.08,9.8,1.18,443,449
NA,2024-05-11T23:45:00Z,0.02,NA,NA,NA,0,NA,NA,98.09,9.5,1.168,444,449
NA,2024-05-12T00:00:00Z,0.01,NA,NA,NA,0,NA,NA,98.09,9.2,1.155,445,449
NA,2024-05-12T00:15:00Z,0.01,NA,NA,NA,0,NA,NA,98.1,9,1.141,447,449
NA,2024-05-12T00:30:00Z,0,NA,NA,NA,0,NA,NA,98.1,8.8,1.131,448,449
NA,2024-05-12T00:45:00Z,0,NA,NA,NA,0,NA,NA,98.1,8.7,1.121,450,449
NA,2024-05-12T01:00:00Z,0,NA,NA,NA,0,NA,NA,98.11,8.5,1.106,453,449
NA,2024-05-12T01:15:00Z,0,NA,NA,NA,0,NA,NA,98.11,8.2,1.091,455,449
NA,2024-05-12T01:30:00Z,0,NA,NA,NA,0,NA,NA,98.11,8.1,1.078,458,450
NA,2024-05-12T01:45:00Z,0,NA,NA,NA,0,NA,NA,98.12,7.9,1.062,460,451
NA,2024-05-12T02:00:00Z,0,NA,NA,NA,0,NA,NA,98.11,7.7,1.048,463,452
NA,2024-05-12T02:15:00Z,0,NA,NA,NA,0,NA,NA,98.11,7.6,1.043,465,453
NA,2024-05-12T02:30:00Z,0,NA,NA,NA,0,NA,NA,98.1,7.4,1.029,468,454
NA,2024-05-12T02:45:00Z,0,NA,NA,NA,0,NA,NA,98.09,7.2,1.018,471,455
NA,2024-05-12T03:00:00Z,0,NA,NA,NA,0,NA,NA,98.08,7.2,1.013,474,456
NA,2024-05-12T03:15:00Z,0,NA,NA,NA,0,NA,NA,98.07,7,1.001,478,457
NA,2024-05-12T03:30:00Z,0,NA,NA,NA,0,NA,NA,98.06,6.8,0.989,482,458
NA,2024-05-12T03:45:00Z,0,NA,NA,NA,0,NA,NA,98.06,6.7,0.979,485,459
NA,2024-05-12T04:00:00Z,0,NA,NA,NA,0,NA,NA,98.06,6.6,0.972,488,460
NA,2024-05-12T04:15:00Z,0,NA,NA,NA,0,NA,NA,98.06,6.4,0.964,492,461
NA,2024-05-12T04:30:00Z,0,NA,NA,NA,0,NA,NA,98.07,6.3,0.955,495,462
NA,2024-05-12T04:45:00Z,0,NA,NA,NA,0,NA,NA,98.08,6.1,0.941,499,463
NA,2024-05-12T05:00:00Z,0,NA,NA,NA,0,NA,NA,98.1,6,0.932,502,464
NA,2024-05-12T05:15:00Z,0,NA,NA,NA,0,NA,NA,98.12,5.8,0.924,507,465
NA,2024-05-12T05:30:00Z,0,NA,NA,NA,0,NA,NA,98.15,5.7,0.917,510,466
NA,2024-05-12T05:45:00Z,0,NA,NA,NA,0,NA,NA,98.17,5.7,0.914,513,467
NA,2024-05-12T06:00:00Z,0,NA,NA,NA,0,NA,NA,98.19,5.6,0.912,516,469
NA,2024-05-12T06:15:00Z,0,NA,NA,NA,0,NA,NA,98.21,5.6,0.909,520,470
NA,2024-05-12T06:30:00Z,0,NA,NA,NA,0,NA,NA,98.23,5.4,0.899,523,471
NA,2024-05-12T06:45:00Z,0,NA,NA,NA,2.6,NA,NA,98.25,5.3,0.891,526,471
NA,2024-05-12T07:00:00Z,0,NA,NA,NA,7.3,NA,NA,98.27,5.3,0.89,529,472
NA,2024-05-12T07:15:00Z,0,NA,NA,NA,9.7,NA,NA,98.29,5.3,0.888,531,473
NA,2024-05-12T07:30:00Z,0,NA,NA,NA,12.1,NA,NA,98.3,5.4,0.893,534,473
NA,2024-05-12T07:45:00Z,0,NA,NA,NA,15,NA,NA,98.31,5.5,0.906,535,473
NA,2024-05-12T08:00:00Z,0,NA,NA,NA,17.8,NA,NA,98.32,5.8,0.925,536,472
NA,2024-05-12T08:15:00Z,0,NA,NA,NA,20.7,NA,NA,98.33,6.2,0.948,536,471
NA,2024-05-12T08:30:00Z,0,NA,NA,NA,23.6,NA,NA,98.34,6.7,0.983,535,469
NA,2024-05-12T08:45:00Z,0,NA,NA,NA,28,NA,NA,98.35,7.3,1.026,531,465
NA,2024-05-12T09:00:00Z,0,NA,NA,NA,48.3,NA,NA,98.36,8.2,1.086,524,459
NA,2024-05-12T09:15:00Z,0,NA,NA,NA,93.6,NA,NA,98.37,9.2,1.163,507,449
NA,2024-05-12T09:30:00Z,0,NA,NA,NA,178.9,NA,NA,98.38,10.6,1.282,454,448
NA,2024-05-12T09:45:00Z,0.01,NA,NA,NA,197.4,NA,NA,98.4,12,1.396,439,446
NA,2024-05-12T10:00:00Z,0.16,NA,NA,NA,373.4,NA,NA,98.41,13.7,1.408,437,445
NA,2024-05-12T10:15:00Z,0.31,NA,NA,NA,238.2,NA,NA,98.41,15.2,1.419,436,445
NA,2024-05-12T10:30:00Z,0.5,NA,NA,NA,356.5,NA,NA,98.41,16.6,1.385,435,444
NA,2024-05-12T10:45:00Z,0.7,NA,NA,NA,332.7,NA,NA,98.41,17.3,1.277,434,443
NA,2024-05-12T11:00:00Z,0.89,NA,NA,NA,234.9,NA,NA,98.41,18,1.173,434,443
NA,2024-05-12T11:15:00Z,1.1,NA,NA,NA,531,NA,NA,98.41,19.2,1.118,432,441
NA,2024-05-12T11:30:00Z,1.2,NA,NA,NA,363.5,NA,NA,98.4,20,1.127,430,439
NA,2024-05-12T11:45:00Z,1.22,NA,NA,NA,379.6,NA,NA,98.4,19.8,1.09,432,441
NA,2024-05-12T12:00:00Z,1.26,NA,NA,NA,300.1,NA,NA,98.4,20,1.077,432,441
NA,2024-05-12T12:15:00Z,1.4,NA,NA,NA,265,NA,NA,98.39,21.1,1.093,432,440
NA,2024-05-12T12:30:00Z,1.48,NA,NA,NA,663,NA,NA,98.39,21.3,1.046,430,440
NA,2024-05-12T12:45:00Z,1.5,NA,NA,NA,706.1,NA,NA,98.39,21.1,0.993,427,439
NA,2024-05-12T13:00:00Z,1.59,NA,NA,NA,415.3,NA,NA,98.37,21.8,1.016,427,440
NA,2024-05-12T13:15:00Z,1.66,NA,NA,NA,272.3,NA,NA,98.36,22.3,1.034,428,440
NA,2024-05-12T13:30:00Z,1.56,NA,NA,NA,425.7,NA,NA,98.35,22,1.077,428,440
NA,2024-05-12T13:45:00Z,1.63,NA,NA,NA,620.2,NA,NA,98.35,22.2,1.047,430,440
NA,2024-05-12T14:00:00Z,1.57,NA,NA,NA,426.1,NA,NA,98.34,21.6,1.018,431,440
NA,2024-05-12T14:15:00Z,1.61,NA,NA,NA,286.6,NA,NA,98.34,21.7,0.99,431,440
NA,2024-05-12T14:30:00Z,1.63,NA,NA,NA,203.6,NA,NA,98.33,22,1.017,431,440
NA,2024-05-12T14:45:00Z,1.68,NA,NA,NA,204.3,NA,NA,98.31,22.5,1.049,431,440
NA,2024-05-12T15:00:00Z,1.72,NA,NA,NA,248.5,NA,NA,98.3,22.6,1.032,431,440
NA,2024-05-12T15:15:00Z,1.73,NA,NA,NA,204.3,NA,NA,98.29,22.7,1.029,431,439
NA,2024-05-12T15:30:00Z,1.77,NA,NA,NA,277.4,NA,NA,98.27,23.2,1.067,431,439
NA,2024-05-12T15:45:00Z,1.8,NA,NA,NA,269.9,NA,NA,98.25,23.3,1.059,431,439
NA,2024-05-12T16:00:00Z,1.71,NA,NA,NA,287.1,NA,NA,98.25,23,1.086,431,440
NA,2024-05-12T16:15:00Z,1.72,NA,NA,NA,261.7,NA,NA,98.24,22.8,1.065,431,439
NA,2024-05-12T16:30:00Z,1.81,NA,NA,NA,190.6,NA,NA,98.23,23.5,1.074,431,439
NA,2024-05-12T16:45:00Z,1.77,NA,NA,NA,174,NA,NA,98.23,23.1,1.058,431,439
NA,2024-05-12T17:00:00Z,1.69,NA,NA,NA,151.8,NA,NA,98.22,23.1,1.128,431,439
NA,2024-05-12T17:15:00Z,1.75,NA,NA,NA,157.3,NA,NA,98.21,23.6,1.154,431,439
NA,2024-05-12T17:30:00Z,1.82,NA,NA,NA,156.2,NA,NA,98.19,23.8,1.124,431,439
NA,2024-05-12T17:45:00Z,1.84,NA,NA,NA,145.9,NA,NA,98.2,23.8,1.109,430,439
NA,2024-05-12T18:00:00Z,1.82,NA,NA,NA,136.2,NA,NA,98.19,23.7,1.114,431,439
NA,2024-05-12T18:15:00Z,1.73,NA,NA,NA,132.4,NA,NA,98.2,23.5,1.171,431,439
NA,2024-05-12T18:30:00Z,1.73,NA,NA,NA,175.6,NA,NA,98.21,23.6,1.18,431,439
